二月，李听袭海州，克东海、朐山、怀仁等县	二月，李听出兵袭击海州，攻克东海、朐山、怀仁等县
崔群对曰：玄宗用姚崇、宋、卢怀慎、苏、韩休、张九龄则理，用宇文融、李林甫、杨国忠则乱	崔群回答说：玄宗任用姚崇、宋、卢怀慎、苏、韩休、张九龄为宰相，则天下大治；但用宇文融、李林甫、杨国忠为宰相，则朝政紊乱
故用人得失，所系非轻	所以，用人得失，关系重大
人皆以天宝十四年安禄山反为乱之始，臣独以为开元二十四年罢张九龄相，专任李林甫，此理乱之所分也	人们都认为天宝十四年罢除张九龄相位，信用李林甫主持朝政是治乱的分界线
愿陛下以开元初为法，以天宝末为戒，乃社稷无疆之福	但愿陛下效法玄宗开元初年，以天宝末年为鉴戒，如果陛下能这样做，那就是国家长治久安的福分啊
皇甫深恨之	皇甫知道自己是靠谄媚皇上的手段才被提拔为宰相的，所以，对崔群十分痛恨
冬，十月，壬戌，容管奏安南贼杨清陷都护府，杀都护李象古及妻子、官属、部曲千余人	冬季，十月，壬戌，容管经略使奏称，安南叛贼杨清起兵，攻陷都护府所在地交州城，杀死都护李象古和他的妻子，以及下属官吏、随从士卒一千多人
象古，道古之兄也，以贪纵苛刻失众心	李象古，即前鄂岳观察使李道古的哥哥，由于贪图钱财，对部下苛刻而失去众心
清世为蛮酋，象古召为牙将，清郁郁不得志	杨清世代为蛮人酋长，李象古召见杨清，任命他为牙将，杨清郁郁不得志
象古命清将兵三千讨黄洞蛮，清因人心怨怒，引兵夜还，袭府城，陷之	李象古命杨清率兵三千讨伐黄洞蛮，杨清乘士卒不满李象古的机会，率兵在半夜擅自返回，袭击交州城，结果把州城攻陷
是岁，吐蕃节度论三摩等将十五万众围盐州，党项亦发兵助之	这一年，吐蕃节度论三摩等人率十五万大军围攻唐朝的盐州，党项也派兵援助吐蕃，参予攻城
刺史李文悦竭力拒守，凡二十七日，吐蕃不能克	盐州刺史李文悦竭力坚守城池二十七天，吐蕃未能攻克
灵武牙将史奉敬言于朔方节度使杜叔良，请兵三千，赍三十日粮，深入吐蕃以解盐州之围	灵武牙将史敬奉请求朔方节度使杜叔良拨给自己兵力三千人，带三十天的干粮，深入吐蕃境内，攻击敌后，以便迫使吐蕃大军解除对盐州的围攻
叔良以二千五百人与之	杜叔良批准史奉敬的请求，拨给他二千五百兵力
奉敬行旬余，无声问，朔方人以为俱没矣	史奉敬出兵后十多天，没有音信，朔方人都认为他已经全军覆没，盐州也已失守
无何，奉敬自他道出吐蕃背，吐蕃大惊，溃去	不料没过多久，史奉敬率兵从意想不到的小路绕到吐蕃军队的背后，吐蕃得知腹背受敌，大为惊慌，急忙溃退
奉敬奋击，大破，不可胜计	史奉敬率军奋力追击，大败吐蕃军队，杀伤不计其数
奉敬与凤翔将野诗良辅、泾原将郝皆以勇著名于边，吐蕃惮之	史敬奉和凤翔节度使部将野诗良辅、泾原节度使部将郝都是以英勇善战闻名于边陲，吐蕃将士特别害怕他们三人
春，正月，沂、海、兖、密观察使曹华请徙理兖州；许之	春季，正月，沂、海、兖、密观察使曹华奏请朝廷，将观察使所在地由沂州迁往兖州，唐宪宗准奏
义成节度使刘悟入朝	义成节度使刘悟来京朝拜
癸丑，以薛放为工部侍郎，丁公著为给事中	癸丑，唐穆宗任命薛放为工部侍郎，丁公著为给事中
丁卯，上与群臣皆释服从吉	丁卯，唐穆宗和群臣百官服丧期满，脱去丧服，穿上日常服装
二月，丁丑，上御丹凤门楼，赦天下	二月，丁丑，唐穆宗御临丹凤门楼，大赦天下
事毕，盛陈倡优杂戏于门内而观之	随后，在城楼上大摆乐舞和杂戏，穆宗在门里观看
丁亥，上幸左神策军观手搏杂戏	丁亥，穆宗亲临左神策军，观看摔跤和杂戏表演
壬辰，废邕管，命容管经略使阳兼领之	壬辰，唐穆宗下令废除邕管经略使，命容管经略使阳兼领
丹王逾薨	丹王李逾去世
吐蕃寇灵武	吐蕃国出兵侵犯灵武
上见夏州观察判官柳公权书迹，爱之	唐穆宗看到夏州观察判官柳公权的书法墨迹，十分喜爱
辛酉，以公权为右拾遗、翰林侍书学士	辛酉，任命柳公权为右拾遗、翰林侍书学士
上问公权：卿书何能如是之善	穆宗问柳公权：你的书法为什么写得这么好
对曰：用笔在心，心正则笔正	柳公权回答说：写字运笔关键在于用心，心正则笔正
上默然改容，知其以笔谏也	穆宗听后默然不语，神色改变，知道柳公权是以用笔作譬来规劝自己
公权，公绰之弟也	柳公权是鄂岳观察使柳公绰的弟弟
吐蕃寇盐州	吐蕃国出兵侵犯盐州
庚申，葬神圣章武孝皇帝于景陵；庙号宪宗	庚申，朝廷在同州奉先县的景陵埋葬神圣章武孝皇帝，庙号为宪宗
六月，以湖南观察使崔群为吏部侍郎，召对别殿	六月，唐穆宗任命湖南观察使崔群为吏部侍郎
上曰：朕升储副，知卿为羽翼	穆宗在便殿召见崔群，说；朕当年被立为皇太子，知道你曾有赞助的功劳
对曰：先帝之意，久属圣明，臣何力之有	崔群说：先帝立皇太子，一直是以陛下作为人选，我又有什么功劳呢
太后居兴庆宫，每朔望，上帅百官诣宫上寿	皇太后居住在兴庆宫，每月初一和十五，唐穆宗率领百官到兴庆宫，为皇太后敬酒祝寿
上性侈，所以奉养太后尤为华靡	穆宗本性奢侈，所以，奉养皇太后尤为排场浪费
秋，七月，乙巳，以郓、曹、濮节度为天平军	秋季，七月，乙巳，唐穆宗命郓、曹、濮节度号为天平军
八月，癸巳，发神策兵二千浚鱼藻池	八月，癸巳，唐穆宗征发神策军兵士二千人疏浚鱼藻也
戊戌，以御史中丞崔植为中书侍郎、同平章事	戊戌，唐穆宗任命御史中丞崔植为中书侍郎、同平章事
己亥，再贬令狐楚衡州刺史	己亥，唐穆宗下令再贬令狐楚为衡州刺史
戊午，加宁节度使李光颜、武宁节度使李并同平章事	戊午，穆宗授予宁节度使李光颜、武宁节度使李同平章事的荣誉官衔
党项复引吐蕃寇泾州，连营五十里	党项再次勾引吐蕃侵犯泾州，军营首尾相连，达五十里
辛巳，遣起居舍人柏耆诣镇州宣慰	辛巳，穆宗派遣起居舍人柏耆前往成德安抚将士
壬午，群臣入	壬午，群臣入殿，谏议大夫郑覃、崔郾等五人向唐穆宗进言：陛下游乐和宴会的次数过多，外出打猎没有节制
谏议大夫郑覃、崔郾等五人进言：陛下宴乐过多，畋游无度	现在，吐蕃大军侵犯边境，如果边防忽然有紧急情况上奏，不知陛下在何处
今胡寇压境，忽有急奏，不知乘舆所在	另外，陛下日夜与乐舞唱戏的优人在一起亲近游玩，对他们赏赐太多
又晨夕与倡优狎昵，赐与过厚	凡金银布帛，都是百姓的血汗，如果没有战功，不可随便赏赐
夫金帛皆百姓膏血，非有功不可与	现在，虽然国库的财物尚有结余，但愿陛下爱惜，万一天下发生不测事件，就可动用国库，而不致使官吏再重税搜刮百姓
虽内藏有余，愿陛下爱之，万一四方有事，不复使有司重敛百姓	谏官很久无人在内殿奏论朝政，穆宗听到郑覃等人的进言后，觉得十分惊讶，他对宰相说：这几个都是什么人
时久无中论事者，上始甚讶之，谓宰相曰：此辈何人	宰相回答说：是谏官
对曰：谏官	于是，穆宗派人慰劳郑覃等人，说：我打算按照你们说的去做
上乃使人慰劳之，曰：当依卿言	宰相都对穆宗虚心纳谏表示祝贺
宰相皆贺，然实不能用也	然而，穆宗其实并没有接受郑覃等人的规劝
覃，瑜之子也	郑覃是唐顺宗时宰相郑瑜的儿子
上尝谓给事中丁公著曰：闻外间人多宴乐，此乃时和人安，足用为慰	唐穆宗曾对给事中丁公著说：听说朝外士大夫经常饮宴游乐，这真是国泰民安，令人欣慰
公著对曰：此非佳事，恐渐劳圣虑	丁公著说：这种现象并非好事，恐怕以后有劳陛下圣虑
上曰：何故	穆宗问：你这样说是什么缘故
对曰：自天宝以来，公卿大夫竞为游宴，沈酣昼夜，优杂子女，不愧左右	丁公著回答说：自天宝以来，公卿士大夫争相游乐饮宴，沉缅于酒色，男女混杂在一起游戏跳舞，不以为耻
如此不已，则百职皆废，陛下能无独忧劳乎	如此下去，必然导致朝政废弛，陛下能不忧虑吗
愿少加禁止，乃天下之福也	但愿陛下对这种现象稍加禁止，也就是天下的福分了
成德军始奏王承宗薨	这时，成德镇方上奏，报告王承宗的死讯
乙酉，徙田弘正为成德节度使，以王承元为义成节度使，刘悟为昭义节度使，李为魏博节度使	乙酉，唐穆宗任命魏博节度使田弘正为成德节度使，任命王承元为义成节度使，刘悟为昭义节度使，李为魏博节度使
又以左金吾将军田布为河阳节度使	又任命左金吾将军田布为河阳节度使
渭州刺史郝数出兵袭吐蕃营，所杀甚众	渭州刺史郝多次出兵袭击吐蕃军营，杀伤很多敌军
李光颜发宁兵救泾州	宁节度使李光颜征发部兵马救援泾州，宁兵士认为神策军已得优厚赏赐，自己却一无所得，都愤怒地说：有的军人给了五十缗钱而不参战，他们是什么人
宁兵以神策受赏厚，皆愠曰：人给五十缗而不识战斗者，彼何人邪	有的军人连应当得到的衣服和粮食都未发给，却要冒死向前冲锋陷阵，这又是什么人呢
常额衣资不得而前冒白刃者，此何人邪	兵士喧扰不息，难以制止
汹汹不可止	李光颜亲自出面，对兵士们晓以大义，一边说，一边流泪
光颜亲为开陈大义以谕之，言与涕俱，然后军士感悦而行	士兵受到感染，愤怒的情绪才平息下来，出发上路了
将至泾州，吐蕃惧而退	快到泾州时，吐蕃畏惧宁军，于是退去
丙戌，罢神策行营	丙戈，穆宗下令，罢梁守谦所率领的神策行营
十二月，已巳朔，盐州奏：吐蕃千余人围乌、白池	十二月，己巳朔，盐州上奏：吐蕃国出动一千多人围攻乌池、白池
庚辰，西川奏南诏二万人入界，请讨吐蕃	庚辰，西川上奏：南诏国两万人进入唐朝境内，请求讨伐吐蕃
春，正月，辛丑，上祀圜丘；赦天下，改元	春季，正月，辛丑，唐穆宗到圜丘祭天，大赦天下，改年号为长庆
河北诸道各令均定两税	下令河北各藩镇勘定两税税额
回鹘保义可汗卒	回鹘国保义可汗去世
三月，癸丑，以刘总兼侍中，充天平节度使；以宣武节度使张弘靖为卢龙节度使	三月，癸丑节度使
乙卯，以权知京兆尹卢士玫为瀛莫观察使	乙卯，任命代理京兆尹卢士玫为瀛莫观察使
丙戌，册回鹘嗣君为登羽录没密施句主毗伽崇德可汗	丙戌，唐穆宗册命回鹘国的新任君主为登羽录没密施句主毗伽崇德可汗
五月，丙申朔，回鹘遣都督、宰相等五百余人来逆公主	五月，丙申朔，回鹘国派遣都督、宰相五百人来唐迎接公主
壬子，盐铁使王播奏：约榷茶额，每百钱加税五十	壬子，盐铁使王播上奏：国家茶叶专卖的税收数额，大约每一百文可加税钱五十文
右拾遗李珏等上疏，以为：榷茶近起贞元多事之际，今天下元虞，所宜宽横敛之目；而更增之，百姓何时当得息肩	右拾遗李珏等人上疏，认为：茶叶专卖始于贞元年间朝廷多难的时期，现在，天下太平，应当减少横征暴敛的赋税数量，却反而增加，那么，百姓什么时候才能减轻负担呢
不从	穆宗不听
丙辰，建王恪薨	丙辰，建王李恪去世
癸亥，以太和长公主嫁回鹘	癸亥，唐穆宗命以太和长公主出嫁回鹘国可汗
公主，上之妹也	公主，即穆宗的妹妹
吐蕃闻唐与回鹘婚，六月，辛未，寇青塞堡；盐州刺史李文悦击却之	吐蕃国听到唐朝和回鹘国通婚的消息，六月，辛未，出兵侵犯青寨堡，盐州刺史李文悦率兵击退吐蕃兵
戊寅，回鹘奏：以万骑出北庭，万骑出安西，拒吐蕃以迎公主	戊寅，回鹘国上奏：我国已经出动一万名骑兵到北庭，一万名骑兵到安西，抵抗吐蕃侵扰，以便迎接公主
初，刘总奏分所属为三道：以幽、涿、营为一道，请除张弘靖为节度使；平、蓟、妫、檀为一道，请除平卢节度使薛平为节度使；瀛、莫为一道，请除权知京兆尹卢士玫为观察使	当初，幽州节度使刘总上奏，建议将幽州所管辖的州县分为三道：幽州、涿州、营州为一道，请求任命张弘靖为节度使；平州、蓟州、妫州、檀州为一道，请求任命平卢节度使薛平为节度使；瀛州、莫州为一道，请求任命代理京兆尹卢士玫为观察使
秋，七月，甲辰，韦雍出，逢小将策马冲其前导，雍命曳下，欲于街中杖之	秋季，七月，甲辰，韦雍外出，碰到一个小将骑马冲撞他的仪仗前导，韦雍下令把小将从马上拉下来，打算在街道中间杖责
河朔军士不贯受杖，不服	河朔地区的军士不习惯受杖责，拒不服从
雍以白弘靖，弘靖命军虞候系治之	韦雍于是报告张弘靖，张弘靖命令军虞候把小将拘捕治罪
是夕，士卒连营呼噪作乱，将校不能制，遂入府舍，掠弘靖货财、妇女、囚弘靖于蓟门馆，杀幕僚韦雍、张宗元、崔仲卿、郑埙、都虞候刘操、押牙张抱元	当晚，士卒连营呼噪作乱，将校制止不住，士卒便冲入节度使府舍，掠夺张弘靖的财产和妻妾，随后，把张弘靖关押在蓟门馆，杀死他的幕僚韦雍、张宗元、崔仲卿、郑埙、都虞候刘操、押牙张抱元
明日，军士稍稍自悔，悉诣馆谢弘靖，请改心事之，凡三请，弘靖不应，军士乃相谓曰：相公无言，是不赦吾曹	第二天，军士渐渐悔悟，都到蓟门馆向张弘靖请罪，表示愿意洗心革面，仍然跟随张弘靖，做他的部从
军中岂可一日无帅	军士几次请求，张弘靖闭口不言
乃相与迎旧将朱洄，奉以为留后	于是，军士商议说：张相公闭口不言，是不愿赦免我们，但是，军中岂可一日没有统帅
洄，克融之父也，时以疾废卧家，自辞老病，请使克融为之；众从之	便一齐去迎接幽州的老将朱洄，拥戴他为留后
众以判官张彻长者，不杀	朱洄，即朱克融的父亲，这时由于身患疾病，在家卧床休养，他以自己年老多病，辞谢留后，请求让给儿子朱克融，军士都表示同意
彻骂曰：汝何敢反，行且族灭	军士因为判官张彻年长而没有杀他，张彻骂道：你们怎敢反叛朝廷，马上就会被族灭的
众共杀之	军士一拥而上，把张彻杀死
辛酉，太和公主发长安	辛酉，太和公主从长安出发，前往回鹘国
九月，乙巳，相州军乱，杀刺史邢	九月，乙巳，相州发生军乱，刺史邢被杀
吐蕃遣其礼部尚书论纳罗来求盟	吐蕃国派遣礼部尚书论纳罗来唐朝请求缔结会盟条约
庚戌，以大理卿刘元鼎为吐蕃会盟使	庚戌，唐穆宗任命大理卿刘元鼎为吐蕃会盟使
壬子，朱克融焚掠易州、涞水、遂城、满城	壬子，朱克融出兵焚烧掠夺易州、涞水、遂城、满城
冬，十月，丙寅，以盐铁转运使、刑部尚书王播为中书侍郎、同平章事，使职如故	冬季，十月，丙寅，唐穆宗任命盐铁转运使、刑部尚书王播为中书侍郎、同平章事，仍兼盐铁转运使
播为相，专为承迎为事，未尝言国家安危	王播担任宰相，专门阿谀奉迎皇上，很少谈论朝廷安危
以裴度为镇州四面行营都招讨使	唐穆宗任命裴度为镇州四面行营都招讨使
左领军大将军杜叔良，以善事权幸得进；时幽、镇兵势方盛，诸道兵未敢进，上欲功速成，宦官荐叔良，以为深州诸道行营节度使	左领军大将军杜叔良由于善于巴结当朝权贵得到提拔，这时，幽州、镇州的兵力正处于强盛，诸道出兵讨伐的军队都不敢进攻
以牛元翼为成德节度使	穆宗想尽快看到胜利成果，而宦官又推荐杜叔良，于是，任命叔良为深州诸道行营节度使，任命牛元翼为成德节度使
乙亥，以沂州刺史王智兴为武宁节度副使	乙亥，唐穆宗任命沂州刺史王智兴为武宁节度副使
先是，副使皆以文吏为之，上闻智兴有勇略，欲用之于河北，故以是宠之	以前，藩镇节度副使都任用文官，穆宗听说智兴有勇有谋，想调他到河北前线，所以，用这个职务表示对他的恩宠
丁丑，裴度自将兵出承天军故关以讨王庭凑	丁丑，裴度亲自率军，经由原承天军驻地娘子关到达河北，讨伐王庭凑
朱克融遣兵寇蔚州	朱克融派兵侵犯蔚州
戊寅，王庭凑遣兵寇蔚州	戊寅，王庭凑派兵侵犯蔚州
己卯，易州刺史柳公济败幽州兵于白石岭，杀千余人	己卯，易州刺史柳公济在白石岭打败幽州兵马，杀一千多人
庚辰，横海军节度使乌重胤奏败成德兵于饶阳	庚辰，横海节度使乌重胤奏报，在饶阳打败成德兵马
辛巳，魏博节度使田布将全军三万人讨王庭凑，屯于南宫之南，拔其二栅	辛巳，魏博节度使田布率全军三万人讨伐王庭凑，屯驻在南宫县南，攻拔王庭凑两个营栅
灵武节度使李进诚奏败吐蕃三千骑于大石山下	灵武节度使李进诚上奏：在大石山下打败吐蕃三千骑兵
丁丑，义武节度使陈楚奏败朱克融兵于望都及北平，斩获万余人	丁丑，唐穆宗任命凤翔节度使李光颜为忠武节度使、兼深州行营节度使，替代杜叔良
戊子，义武奏破莫州清源等三栅，斩获千余人	戊子，义武上奏、攻破莫州清源等三个营栅，斩首和俘虏敌军一千多人
庚戌，以德州刺史王日简为横海节度使	庚戌，唐穆宗任命德州刺史王日简为横海节度使
日简，本成德牙将也	王日简原本是成德的牙将
壬子，贬杜叔良为归州刺史	壬子，贬杜叔良为归州刺史
丙子，赐横海节度使王日简姓名为李全略	丙子，唐穆宗赐予横海节度使王日简姓名李全略
癸未，加李光颜横海节度、沧景观察使，其忠武、深州行营节度如故	癸未，唐穆宗任命李光颜为横海节度使、沧景观察使，仍兼任忠武、深州行营节度使
以横海节度使李全略为德棣节度使	任命横海节度使李全略为德棣节度使
时朝廷以光颜悬军深入，馈运难通，故割沧景以隶之	这时，朝廷考虑到李光颜孤军深入，军需供给的道路很难打通，因此，分割横海的沧、景二州隶属他统辖，以便就近供给军需
初，上在东宫，闻天下厌苦宪宗用兵，故即位，务优假将卒以求姑息	当初，唐穆宗在东宫为皇太子时，听说天下人苦于宪宗长期用兵削藩伐叛，因此，即位以后，尽量宽容和优赏将士，以求相安无事
三月，壬辰，诏：神策六军使及南牙常参武官具由历、功绩，牒送中书，量加奖惟擢	三月，壬辰，下诏：凡北衙禁军神策军，羽林、龙武、神武六军军使，以及南衙常参武官，各将自己所历任军职、功绩报达中书省，朝廷根据各人情况，适当予以奖励提拔
其诸道大将久次及有功者，悉奏闻，与除宫	诸道大将任职已久及有功者，也都报告朝廷，授予官职
应天下诸军，各委本道据守旧额，不得辄有减省	各地军队，都由本道遵循以往既定的兵额，不得随便裁减人数
于是商贾、胥吏争赂藩镇，牒补列将而荐之，即升朝籍	诏书下达后，各地商贾和官府中的小吏都争相贿赂藩镇节度使、观察使、以便由藩镇补授一个军将的职务，再推荐到朝廷，授予官衔
奏章委积，士大夫皆扼腕叹息	各道的奏章成批的堆积在中书省，士大夫都扼腕叹息授官太滥，而无可奈何
壬子，以裴度为淮南节度使，余如故	壬子，唐穆宗任命裴度为淮南节度使，仍兼任原来的其他职务
朝廷以新罢兵，力不能讨徐州，已未，以王智兴为武宁节度使	朝廷考虑到刚刚对幽州、成德的讨伐，无力再讨王智兴的叛乱，已未，任命王智兴为武宁节度使
复以德棣节度李全略为横海节度使	唐穆宗仍任命德棣节度使李全略为横海节度使
夏，四月，辛酉朔，日有食之	夏季，四月，辛酉朔，出现日食
甲戌，以傅良弼、李寰为神策都知兵马使	甲戌，唐穆宗任命傅良弼、李寰为神策都知兵马使
户部侍郎、判度支张平叔上言：官自粜盐，可以获利一倍；又请令所由将盐就村粜易；又乞令宰相领盐铁使；又请以粜盐多少为刺史、县令殿最；又乞检责所在实户，据口团保，给一年盐，使其四季输价；又行此策后，富商大贾或行财贿，邀截喧诉，其为首者所在杖杀，连状人皆杖脊	户部侍郎、判度支张平叔上奏，建议：由官府自已粜盐，朝廷每年获利可增加一部；又建议命各道掌管食盐专卖的官吏把盐送到村里出粜交易；又建议命宰相兼领盐铁使；又建议各道以粜盐多少作为考察刺史、县令政绩优劣的依据；请求命各道核查当地的户口，根据各户人口的多少，若干户组织在一起，给一年的食盐，让他们相互作保，一年分四次向官府交纳盐钱；又说：实行这项政策后，如果那些有钱的大商人向官府行贿，或者出于不满而喧哗闹事，或向上控诉的话，对于为首者，命各地用刑杖打死，凡联名上诉的人都给予杖背的惩罚
诏百官议其可否	穆宗下诏，命百官讨论他的建议是否可行
邕州人不乐属容管，刺吏李元宗以吏人状授御史，使奏之	邕州人不愿隶属容管经略使统辖，剌史李元宗把本州官吏百姓写的上诉书交给朝廷的出使御史，请他上奏朝廷
容管经略使严公素闻之，遣吏按元宗擅以罗阳县归蛮酋黄少度	容管经略使严公素得知后，派遣官吏审查李元宗擅自把罗阳县归还黄洞蛮酋长黄少度的问题
五月，壬寅，元宗将兵百人并州印奔黄洞	五月，壬寅，李元宗率兵五百人，并携带州印投奔黄洞蛮
党项寇灵州、渭北，掠官马	党项族部落侵扰灵州、渭北，掠取国家牧场上的马匹
谏官上言：裴度无罪，不当免相	谏官上言：裴度无罪，不应当免去他的宰相职务
元稹与于方为邪谋，责之太轻	而元稹和于方一起策划奸谋，处置太轻
上不得已，壬申，削稹长春宫使	穆宗不得已，壬申，免去元稹所兼任的长春宫使的职务
吐番寇灵武	吐蕃国出兵侵犯灵武
庚辰，盐州奏党项都督拔跋万诚请降	庚辰，盐州上奏：党项族都督拔跋万诚请求投降
壬午，吐蕃寇盐州	壬午，吐蕃国出兵侵犯盐州
戊子，复置邕管经略使	戊子，唐穆宗下令重新设置邕管经略使
丙申，宋王结薨	丙申，宋王李结去世
戊戌，宣武监军奏军乱	戊戌，宣武监军奏报发生军乱
庚子，李自奏已权知留后	庚子，李上奏，自称已暂时主持留后
八月，辛酉，大理卿刘元鼎自吐蕃还	八月，辛酉，大理卿刘元鼎出使吐蕃国会盟后，回到京城
九月，戊子朔，浙西观察使京兆窦易直奏大将王国清作乱，伏诛	九月，戊子朔，浙江西道观察使、京兆府人窦易直奏报大将王国清作乱，已被斩首
初，易直闻汴州乱而惧，欲散金帛以赏军士，或曰：赏之无名，恐益生疑	当初，窦易直听说宣武军乱，十分恐惧，想从库房拿出金银布帛来赏剔将士，有人对他说：赏赐而无名目，恐怕将士更生疑心
乃止	于是，窦易直打消了这个念头，但是，外面已有人得知这个消息
而外已有知之者，故国清作乱；易直讨擒之，并杀其党二百余人	因此，王国清乘人心不定而作乱，被窦易直讨平，杀王国清和他的党羽共二百多人
冬，十一月，庚午，皇太后幸华清宫	冬季，十一月，庚午，唐穆宗从复道出京城，到达华清宫
辛未，上自复道幸华清宫，遂畋于骊山，即日还宫	于是，在骊山打猎游乐，当天，返回宫中
太后数日乃返	皇太后过了很多天才返回兴庆宫
丙子，集王缃薨	丙子，集王李缃去世
是岁，初行《宣明历》	这一年，全国开始行用《宣明历》
春，正月，癸未，赐两军中尉以下钱	春季，正月，癸未，唐穆宗赏赐左、右神策军护军中尉以下军将钱
二月，辛卯，赐统军、军使等绵采、银器各有差	二月，辛卯，赏赐左、右羽林军，左、右龙武军，左、右神武军统军、军使等军将丝绵、银器，根据他们的职务高低分等级颁给
夏，四月，甲午，安南奏陆州獠攻掠州县	夏季，四月，甲午，安南都护府奏报：陆州的獠人攻打掠夺本道州县
丙申，赐宣徽院供奉官钱，紫衣者百二十缗，下至承旨各有差	丙申，唐穆宗赏赐宣徽院供奉官钱，凡身着紫色官服的赐一百二十缗，下至承旨官，各根据他们的官品高低分等级颁给
丙子，以晋、慈二州为保义军，以观察使李寰为节度使	丙子，唐穆宗命以晋、慈二州为保义军，任命观察使李寰为节度使
六月，已丑，以吏部侍郎韩愈为京兆尹；六军不敢犯法，私相谓曰：是尚欲烧佛骨，何可犯也	六月，已丑，唐穆宗任命吏部侍郎韩愈为京兆尹，禁军将士都不敢犯法，私下里相互说：他连佛骨都敢烧，我们怎么敢犯法
秋，七月，癸亥，岭南奏黄洞蛮寇邕州，破左江镇	秋季，七月，癸亥，岭南奏报：黄洞蛮侵犯邕州，攻破左江镇
丙寅，邕州奏黄洞蛮破钦州千金镇，刺史杨岭奔石南砦	丙寅，邕州奏报：黄洞蛮攻破钦州千金镇，刺史杨屿逃往石南砦
南诏劝利卒，国人请立其弟丰	南诏国王劝利去世，南诏人向唐奏请立劝利的弟弟丰为王
丰勇敢，善用其众，始慕中国，不与父连名	丰勇敢而善于用人，羡慕唐朝的礼仪和文化，从他开始不再与父辈连名
八月，癸巳，邕管奏破共洞蛮	八月，癸巳，邕州奏称攻破黄洞蛮
丙申，上自复道幸兴庆宫，至通化门楼，投绢二百匹施山僧	丙申，唐穆宗从复道到兴庆宫，途经通化门楼时，向山里的僧人施舍绢二百匹
上之滥赐皆此类，不可悉纪	穆宗滥施赏赐，毫无节制，像这一类事情，无法一一记载
九月，丙辰，加昭义节度使刘悟同平章事	九月，丙辰，唐穆宗加封昭义节度使刘悟同平章事的荣誉职务
已丑，以中书侍郎、同平章事杜元颖同平章事、充西川节度使	已丑，唐穆宗任命中书侍郎、同平章事杜元颖兼同平章的荣誉职务，充任剑南西川节度使
辛卯，安南奏黄洞蛮为寇	辛卯，安南奏报：黄洞蛮侵扰
