戊辰，唐王以世子建成为左元帅，秦公世民为右元帅，督诸军十余万人救东都	戊辰，唐王以世子李建成为左元帅，秦公李世民为右元帅，率领各路兵马十余万救援东都
城中多欲为内应者，赵公世民曰：吾新定关中，根本未固，虽得东都，不能守也	东都城里有不少人想作为唐军的内应，赵公李世民说：我们平定关中不久，根基还不牢固，即使得东都，也不能守住
遂不受	于是没有答允作内应的要求
戊寅，引军还	戊寅，领军队回关中
世民曰：城中见吾退，必来追蹑	世民说：城里看见咱们撤退，肯定会追来
乃设三伏于三王陵以待之；段达果将万余人追之，遇伏而败	于是在三王陵设下三处埋伏等待追兵；段达果然带一万多人追来，遇到埋伏打了败仗
世民逐北，抵其城下，斩四千余级	李世民追击败军，直到东都城下，杀了四千多人
遂置新安、宜阳二郡，使行军总管史万宝、盛彦师镇宜阳，吕绍宗、任将兵镇新安而还	于是设置新安、宜阳二郡，派行军总管史万宝、盛彦师镇守宜阳，吕绍宗、任统兵镇守新安，唐军回师
初，五原通守栎阳张长逊以中原大乱，举郡附突厥，突厥以为割利特勒	当初，五原通守栎阳人张长逊因为中原大乱，以整个郡归附突厥，突厥封他为割利特勒
郝瑗说薛举，与梁师都及突厥连兵以取长安，举从之	郝瑷劝薛举与梁师都及突厥联合兵力攻取长安，薛举听从他的意见
时启民可汗之子咄号莫贺咄设，建牙直五原之北，举遣使与莫贺咄设谋入寇；莫贺咄设许之	当时启民可汗之子咄称莫贺咄设，就在五原北面设官署，薛举派使节与莫贺咄设协商入侵长安；莫贺咄设答应了薛举的邀请
唐王使都水监宇文歆赂莫贺咄设，且为陈利害，止其出兵，又说莫贺咄设遣张长逊入朝，以五原之地归之中国，莫贺咄设并从之	唐王派遣都水监宇文歆贿赂莫贺咄设，并且向他陈述了利害得失，阻止他出兵，又劝莫贺咄设派张长逊入朝，把五原地区归还给中国，莫贺咄设全都应允
己卯，武都、宕渠、五原等郡皆降，王即以长逊为五原太守	己卯，武都、宕渠、五原等郡全部归顺唐王，唐王就以张长逊为五原太守
长逊又作为诏书与莫贺咄设，示知其谋	张长逊又写假诏书给莫贺咄设，表示已经知道了莫贺咄设等人的阴谋
莫贺咄设乃拒举、师都等，不纳其使	莫贺咄设于是拒绝了薛举、梁师都等的邀请，不接受他们派来的使者
戊戌，世子建成等还长安	戊戌，唐世子李建成等回到长安
东都号令不出四门，人无固志，朝议郎段世弘等谋应西师	东都隋廷能管辖的地方只有城里，人心不定，朝议郎段世弘等人谋划响应李建成等率领的西军
会西师已还，乃遣人招李密，期以己亥夜纳之	恰好李建成的军队已经回师，他们便派人联络李密，约定己亥夜里迎接李密军进城
事觉，越王命王世充讨诛之	事情被发觉，隋越王杨侗命令王世充诛杀了段世弘等人
密闻城中已定，乃还	李密听说城内已经被平定，便回去了
炀帝凶问至长安，唐王哭之恸，曰：吾北面事人，失道不能救，敢忘哀乎	隋炀帝的死讯传到长安，唐王李渊恸哭，说道：我北面称臣侍奉君王，君主失道不能挽救，岂敢忘记哀痛悲伤呢
五月，山南抚慰使马元规击朱粲于冠军，破之	五月，山南抚慰使马元规在冠军进攻朱粲，打败了他
王德仁既杀房彦藻，李密遣徐世讨之	王德仁杀了房彦藻后，李密派遣徐世征伐他
德仁兵败，甲寅，与武安通守袁子皆来降，诏以德仁为邺郡太守	王德仁战败，甲寅，王德仁和武安通守袁子都向唐王投降，唐王以王德仁为邺郡太守
戊午，隋恭帝禅位于唐，逊居代邸	戊午，隋恭帝禅位给唐，让出皇宫住在代邸
甲子，唐王即皇帝位于太极殿，遣刑部尚书萧造告天于南郊，大赦，改元	甲子，唐王在太极殿即皇帝位，派刑部尚书萧造在南郊祭告上天，大赦天下，改换年号为武德
罢郡，置州，以太守为刺史	停止用郡，设置州，改太守为刺史
推五运为土德，色尚黄	推求五行的运行属土德，颜色以黄色为尊
隋炀帝凶问至东都，戊辰，留守官奉越王即皇帝位，大赦，改元皇泰	隋炀帝的死讯传到东都，戊辰，留守东都的隋朝官员拥戴隋越王杨侗即皇帝位，大赦，改年号为皇泰
是时于朝堂宣旨，以时钟金革，公私皆即日大祥	当即在朝堂宣旨，由于当时正值战争期间，公私都以当天为守丧两年除去丧服的大祥日
追谥大行曰明皇帝，庙号世祖；追尊元德太子曰成皇帝，庙号世宗	追谥死去的皇帝为明皇帝，庙号世祖；追尊元德太子为成皇帝，庙号世宗
尊母刘良娣为皇太后	尊母亲刘良娣为皇太后
以段达为纳言、陈国公，王世充为纳言、郑国公，元文都为内史令、鲁国公，皇甫无逸为兵部尚书、杞国公；又以卢楚为内史令，郭文懿为内史侍郎，赵长文为黄门侍郎，共掌朝政	以段达为纳言、陈国公，王世充为纳言、郑国公，元文都为内史令、鲁国公，皇甫无逸为兵部尚书、杞国公；又以卢楚为内史令，郭文懿为内史侍郎，赵长文为黄门侍郎，共同掌握朝政
时人号七贵	当时人称七贵
皇泰主眉目如画，温厚仁爱，风格俨然	皇泰主杨侗眉目如画，温和仁爱，仪容风度矜持庄重
辛未，突厥始毕可汗遣骨咄禄特勒来，宴之于太极殿，奏九部乐	辛未，突厥始毕可汗派遣骨咄禄特勒前来唐朝，朝廷在太极殿宴请他，奏宴乐、清商、西凉等九部乐
时中国人避乱者多入突厥，突厥强盛，东自契丹、室韦，西尽吐谷浑、高昌，诸国皆臣之，控弦百余万	当时中原避乱的人大多逃入突厥，突厥强盛，东自契丹、室韦，西边包括吐谷浑、高昌，各国都臣服于突厥，突厥有一百多万士兵
帝以初起资其兵马，前后饷遗，不可胜纪	唐高祖因为起事初期曾借助于突厥兵马，所以前前后后赠送给突厥的东西，无法计算
突厥恃功骄倨，每遣使者至长安，多暴横，帝优容之	突厥凭借过去的功劳，傲慢无礼，每次派遣使者来长安，大多都胡作非为，蛮不讲理，但皇上都优待、宽容他们
壬申，命裴寂、刘文静等修定律令	壬申，唐高祖命令裴寂、刘文静等人编纂审定律令
置国子、太学、四门生，合三百余员，郡县学亦各置生员	设置国子学、太学、四门学生，共三百多人，各郡县学校也都设置学员名额
六月，甲戌朔，以赵公世民为尚书令，黄台公为刑部侍郎，相国府长史裴寂为右仆射、知政事，司马刘文静为纳言，司录窦威为内史令、李纲为礼部尚书、参掌选事，掾殷开山为吏部侍郎，属赵慈景为兵部侍郎，韦义节为礼部侍郎，主薄陈叔达、博陵崔民并为黄门侍郎，唐俭为内史侍郎，录事参军裴为尚书左丞；以隋民部尚书萧为内史令，礼部尚书窦为户部尚书，蒋公屈突通为兵部尚书，长安令独孤怀恩为工部尚书	六月，甲戌朔，任命赵公李世民为尚书令，黄台公李为刑部侍郎，相国府长史裴寂为右仆射、知政事，司马刘文静为纳言，司录窦威为内史令，李纲为礼部尚书、参掌选事，掾殷开山为吏部侍郎，属赵慈景为兵部侍郎，韦义节为礼部侍郎，主簿陈叔达、博陵人崔民同为黄门侍郎，唐俭为内史侍郎，录事参军裴为尚书左丞；任命隋民部尚书萧为内史令，礼部尚书窦为户部尚书，蒋公屈突通为兵部尚书，长安令独孤怀恩为工部尚书
，上之从子；怀恩，舅子也	李是唐高祖的侄子；独孤怀恩是唐高祖舅舅的儿子
初，帝遣马元规慰抚山南，南阳郡丞河东吕子臧独据郡不从；元规遣使数辈谕之，皆为子臧所杀	当初，唐高祖派马元规宣慰安抚山南，唯有南阳郡丞河东人吕子臧据郡不归顺；马元规派好几个人前往劝喻，都被吕子臧杀了
及炀帝遇弑，子臧发丧成礼，然后请降；拜邓州刺史，封南郡公	待隋炀帝遇弑，吕子臧发丧完成礼数，然后请求投降；唐任命他为邓州刺史、封南郡公
上每视事，自称名，引贵臣同榻而坐	唐高祖每次上朝，都自称名字，请贵臣们与他同坐一条榻上
刘文静谏曰：昔王导有言：若太阳俯同万物，使群生何以仰照	刘文静劝谏说：过去王导说过这样的话：假如太阳俯身与万物等同，那么一切生物又怎么仰赖它的照耀呢
今贵贱失位，非常久之道	现在您的做法使贵贱失去了秩序，这不是国家长久之道
上曰：昔汉光武与严子陵共寝，子陵加足于帝腹	高祖回答：过去汉光武帝与严子陵一起睡觉，严子陵把脚伸到汉光武帝的肚子上
今诸公皆名德旧齿，平生亲友，宿昔之欢，何可忘也	今天诸位大臣都是德高望重的旧同僚，平生的亲友，过去的欢情，怎能忘怀
公勿以为嫌	此事您不必疑虑
戊寅，隋安阳令吕珉以相州来降，以为相州刺史	戊寅，隋安阳令吕珉以相州降唐，唐封他为相州刺史
己卯，四亲庙主	己卯，唐祭祀四亲庙主
追尊皇高祖瀛州府君曰宣简公；皇曾祖司空曰懿王；皇祖景王曰景皇帝，庙号太祖，祖妣曰景烈皇后；皇考元王曰元皇帝，庙号世祖，妣独孤氏曰元贞皇后；追谥妃窦氏曰穆皇后	追尊皇高祖瀛州府君为宣简公；皇曾祖司空为懿王；皇祖景王为景皇帝，庙号为太祖，祖母为景烈皇后；皇父元王为元皇帝，庙号为世祖，母亲独孤氏为元贞皇后；追谥皇妃窦氏为穆皇后
每岁祀昊天上帝、皇地祗、神州地祗，以景帝配，感生帝、明堂，以元帝配	每年祭祀昊天上帝、皇地祗、神州地祗，以景帝配享，祭感生帝、明堂，以元帝配享
庚辰，立世子建成为皇太子，赵公世民为秦王，齐公元吉为齐王，宗室黄瓜公白驹为平原王，蜀公孝基为永安王，柱国道玄为淮阳王，长平公叔良为长平王，郑公神通为永康王，安吉公神符为襄邑王，柱国德良为新兴王，上柱国博叉为陇西王，上柱国奉慈为勃海王	庚辰，立世子李建成为皇太子，赵公李世民为秦王，齐公李元吉为齐王，宗室黄瓜公李白驹为平原王，蜀公李孝基为永安王，柱国李道玄为淮阳王，长平公李叔良为长平王，郑公李神通为永康王，安吉公李神符为襄邑王，柱国李德良为新兴王，上柱国李博义为陇西王，上柱国李奉慈为勃海王
孝基、叔良、神符、德良，帝之从父弟；博叉、奉慈，弟子；道玄，从父兄子也	孝基、叔良、神符、德良，都是高祖的堂弟；博义、奉慈是高祖的侄子；道玄是高祖的堂侄
遣太仆卿宇文明达招慰山东，以永安王孝基为陕州总管	唐派遣太仆卿宇文明达招抚慰问崤山以东地区，任命永安王李孝基为陕州总管
时天下未定，凡边要之州，皆置总管府，以统数州之兵	当时天下还不安定，凡是边远重要的州郡，都设置总管府，以统帅几个州的军队
乙酉，奉隋帝为国公	乙酉，唐尊奉隋恭帝为国公
诏曰：近世以来，时运迁革，前代亲族，莫不诛夷	高祖下诏说：近世以来，时运变革更新，以前朝代的皇帝宗族，没有不被杀戮除灭的
兴亡之效，岂伊人力	但朝代所以兴亡，岂只靠人力所为
其隋蔡王智积等子孙，并付所司，量才选用	隋朝的蔡王杨智积等王室子孙，都交付有关官署，量才使用
丙申，隋信都郡丞东莱棱来降，拜冀州刺史	丙申，隋信都郡郡丞东莱人棱前来投降唐朝，唐拜他为冀州刺史
辛丑，内史令延安靖公窦威薨	辛丑，唐内史令延安靖公窦威去世
以将作大匠窦抗兼纳言，黄门侍郎陈叔达判纳言	任命将作大匠窦抗兼纳言，黄门侍郎陈叔达判纳言
宇文化及留辎重于滑台，以王轨为刑部尚书，使守之，引兵北趣黎阳	宇文化及将辎重留在滑台，任命王轨为刑部尚书，派他守卫辎重，自己率军向北到黎阳
李密将徐世据黎阳，畏其军锋，以兵西保仓城	李密的将领徐世占领黎阳，畏惧宇文化及的军队勇猛，率军向西保守黎阳仓城
化及渡河，保黎阳，分兵围世	宇文化及渡过黄河，占据黎阳，分兵几路包围徐世
密帅步骑二万，壁于清淇，与世以烽火相应，深沟高垒，不与化及战	李密率领二万步骑兵，驻扎在清淇，与徐世用烽火相呼应，挖深沟筑高城墙，不和宇文化及交战
化及每攻仓城，密辄引兵以掎其后	每当宇文化及攻仓城，李密就带兵牵制他的后方
密与化及隔水而语，密数之曰：卿本匈奴皂隶破野头耳；父兄子弟，并受隋恩，富贵累世，举朝莫二	李密隔着淇水斥责宇文化及道：你本来不过是匈奴的奴隶破野头，父兄子弟都受隋的恩典，几代富贵，满朝文武没有第二家
主上失德，不能死谏，反行弑逆，欲规篡夺	主上丧失德行，你不能以死规劝，反而谋逆弑君，还想窥测篡夺天下
不追诸葛瞻之忠诚，乃为霍禹之恶逆，天地听不容，将欲何之	你不效法诸葛亮之子诸葛瞻蜀亡而死的忠诚，却效法霍光之子霍禹谋逆，为天地所不容，还准备干什么
若速来归我，尚可得全后嗣	如果赶快归顺我，还可以保全你的后嗣
化及默然，俯视良久，目大言曰：与尔论相杀事，何须作书语邪	宇文化及默不作声，低头半天，瞪眼大声说：和你作战较量，用不着说那么多书里的话
密谓从者曰：化及庸遇如此，忽欲图为帝王，吾当折杖驱之耳	李密对身边的人说：化及这么糊涂，忽然想成为帝王，我要拿棍子把他赶跑
化及盛修攻具以逼仓城，世于城外掘深沟以固守，化及阻堑，不得至城下	宇文化及大规模修治攻城用具，进逼仓城，徐世在城外挖深沟坚守，化及受壕沟阻拦，无法到城下
世于堑中为地道，出兵击之，化及大败，焚其攻具	徐世在沟里挖地道，出兵攻打宇文化及，大败化及，焚烧了他的攻城用具
乙巳，宣州刺史周超击朱粲，败之	乙巳，唐宣州刺史周超攻朱粲并打败了他
丁未，梁师都寇灵州，骠骑将军蔺兴粲击破之	丁未，梁师都侵犯灵州，唐骠骑将军蔺兴粲打败了他
突厥阙可汗遣使内附	突厥阙可汗派遣使节归附中原王朝
初，阙可汗附于李轨；隋西戎使者曹琼据甘州诱之，乃更附琼，与之拒轨；为轨所败，窜于达斗拔谷，与吐谷浑相表里，至是内附	当初阙可汗归附李轨，隋朝西戎使者曹琼占据甘州引诱阙可汗，阙可汗改为归附曹琼，与曹琼一起抵御李轨；被李轨打败，逃窜到达斗拔谷，和吐谷浑相表里，到北时内附
寻为李轨所灭	不久被李轨消灭
薛举进逼高，游兵至于豳、岐，秦王世民深沟高垒不与战	薛举进逼高，散兵到达豳、岐一带，秦王李世民加深壕沟，加高壁垒，不和薛举部交锋
会世民得疟疾，委军事于长史·纳言刘文静、司马殷开山，且戒之曰：薛举悬军深入，食少兵疲，若来挑战，慎勿应也	恰逢世民得疟疾，把军事委托给长史纳言刘文静、司马殷开山，告诫二人说：薛举孤军深入，粮食不多，士卒疲惫，假如来挑战，小心不要应战
俟吾疾愈，为君等破之	等我的病痊愈后，为你们打败他
开山退，谓文静曰：王虑公不能办，胡有此言耳	退下后，殷开山对刘文静说道：王爷担心您不能退敌，才说这番话
且贼闻王有疾，必轻我，宜曜武以威之	贼兵听到王爷有病，必然轻视我们，应该显示一下武力威慑敌人
乃陈于高西南，恃众而不设备	于是在高西南列阵，仗着人多不加防备
举潜师掩其后，壬子，战于浅水原，八总管皆败，士卒死者什五六，大将军慕容罗、李安远、刘弘基皆没	薛举秘密进袭唐军背后，壬子，在浅水原交战，唐八位总管都败下阵，士卒死亡十分之五六，大将军慕容罗、李安远、刘弘基均阵亡
世民引兵还长安，举遂拔高，收唐兵死者为京观；文静等皆坐除名	世民带兵返回长安，薛举于是攻克高，收拾唐兵尸首筑成高台，刘文静等人均因此被罢官
乙卯，榆林贼帅郭子和遣使来降，以为灵州总管	乙卯，榆林盗贼首领郭子和派使节前来投降，唐任命郭子和为灵州总管
李密每战胜，必遣使告捷于皇泰主，隋人皆喜，王世充独谓其麾下曰：元文都辈，刀笔吏耳，吾观其势，必为李密所擒	李密每次打了胜仗，必定派人向皇泰主报捷，隋人都很高兴，唯有王世充对他的部下说：元文都这些人，不过是办理文书的小吏，我看这形势，必定被李密捉去
且吾军士屡与密战，没其父兄子弟，前后已多，一旦为之下，吾属无类矣	而且我的部队多次与李密作战，前前后后打死李密军士的父兄子弟很多，一旦成了李密的部下，我们这些人没一个能逃得掉
欲以激怒其众	想用这些话激怒他的部下
文都闻之，大惧，与卢楚等谋因世充入朝，伏甲诛之	元文都听说了，十分恐慌，和卢楚等人谋划，趁王世充入朝时，埋伏士兵杀掉王世充
段达性庸懦，恐其事不就，遣其婿张志以楚等谋告世充	段达性格胆小怕事，恐怕事情不成功，派女婿张志将卢楚等人的计划告诉了王世充
戊午夜三鼓，世充勒兵袭含嘉门	戊午半夜三更时分，王世充率兵袭击含嘉门
元文都闻变，入奉皇泰主御乾阳殿，陈兵自卫，命诸将闭门拒守	元文都听说发生变故，进入内宫侍奉皇泰主至乾阳殿，安排军队自卫，命令诸将关闭城门抵御
将军跋野纲将兵出，遇世充，下马降之	将军跋野纲领兵出战，遇到王世充，下马投降
将军费曜、田战于门外，不利	将军费曜、田在宫城外与王世充交战，不利
文都自将宿卫兵欲出玄武门以袭其后，长秋监段瑜称求门钥不获，稽留遂久	元文都自己领宿卫兵准备出玄武门，从背后袭击王世充，长秋监段瑜声称找不到宫门的钥匙，拖延了很长时间
天且曙，文都复欲引兵出太阳门逆战，还至乾阳殿，世充已攻太阳门得入	天快亮了，元文都又打算领兵出太阳门迎战王世充，回到乾阳殿，王世充已攻破太阳门进宫
皇甫无逸弃母及妻子，斫右掖门，西奔长安	皇甫无逸抛下母亲和妻子儿女，砍开右掖门，向西逃往长安
卢楚匿于太官署，世充之党擒之，至兴教门，见世充，世充令乱斩杀之；进攻紫微宫门	卢楚藏在太官署，被王世充部下抓获，到兴教门，见王世充，王世充下令乱刀砍死卢楚；进攻紫微宫门
皇泰主使人登紫微观，问：称兵欲何为	皇泰主派人登上紫微观，问王世充：举兵想做什么
世充下马谢曰：元文都、卢楚等横见规图；请杀文都，甘从刑典	王世充下马谢罪说：元文都、卢楚等对臣横加陷害，请杀了元文都，我甘愿受刑罚
段达乃令将军黄桃树执送文都	于是段达命将军黄桃树绑了元文都送给王世充
文都顾谓皇泰主曰：臣今朝死，陛下夕及矣	元文都冲着皇泰主说：臣今天早上死，晚上就轮到陛下了
皇泰主恸哭遣之，出兴教门，乱斩如卢楚，并杀卢、元诸子	皇泰主恸哭送他，出兴教门，象卢楚一样被乱刀砍死，还杀了卢楚、元文都所有的儿子
段达又以皇泰主命开门纳世充，世充悉遣人代宿卫者，然后入见皇泰主于乾阳殿	段达又以皇泰主的命令开门迎王世充入宫，王世充用自己的人全部替换了宿卫禁兵，然后入乾阳殿见皇泰主
皇泰主谓世充曰：擅相诛杀，曾不闻奏，岂为臣之道乎	皇泰主对王世充说：擅自举兵杀人，不曾闻奏，难道是作臣子的作法吗
公欲肆其强力，敢及我邪	阁下想逞武力，胆敢杀我吗
世充拜伏流涕谢曰：臣蒙先皇采拔，粉骨非报	王世充伏身下拜流泪谢罪道：臣蒙受先皇的提拔，粉身碎骨也难报答
文都等苞藏祸心，欲召李密以危社稷，疾臣违异，深积猜嫌；臣迫于救死，不暇闻奏	文都等人包藏祸心，想召李密危及社稷，又怕臣不同意，怀疑猜忌臣；臣被迫求生，来不及闻奏
若内怀不臧，违负陛下，天地日月，实所照临，使臣阖门殄灭，无复遗类	如果怀有什么恶意，违背陛下，天地日月在上明鉴，让臣满门灭绝一个不留
词泪俱发	声泪俱下
皇泰主以为诚，引令升殿，与语久之，因与俱入见皇太后；世充被发为誓，称不敢有贰心	皇泰主以为王世充是真心，令他上殿，和他谈了很久，又与王世充一同入后宫见皇太后；王世充披散头发发誓，声言不敢有二心
乃以世充为左仆射、总督内外诸军事	于是以王世充为左仆射，总督内外诸军事
比及日中，捕获赵长文、郭文懿，杀之	到了中午，捉住赵长文、郭文懿，杀了二人
然后巡城，告谕以诛元、卢之意	然后巡视全城，公布诛杀元、卢的原因
世充自含嘉城移民尚书省，渐结党援，恣行威福	王世充从含嘉城搬到尚书省，逐渐联结同党，恣意横行作威作福
用兄世恽为内史令，入居禁中，子弟咸典兵马，分政事为十头，悉以其党主之，势震内外，莫不趋附，皇泰主拱手而已	用哥哥王世恽为内史令，住在宫内，子弟都掌握兵权，把政事分为十头，全部交给同党主持，势震内外，人人争相趋附，皇泰主闲着无事罢了
李密将入朝，至温，闻元文都等死，乃还金墉	李密准备入朝，行到温县，得知元文都等已死，又回到金墉城
东都大饥，私钱滥恶，太半杂以锡环，其细如线，米斛直钱八九万	东都极度缺粮，私铸钱泛滥，质量低劣，多半在铜钱中掺了锡钱，薄细如线，一斛米价值八九万钱
庚申，诏隋氏离宫游幸之所并废之	庚申，唐下诏废除隋代的皇帝离宫与行幸之处
戊辰，遣黄台公安抚山南	戊辰，唐派遣黄台公李安抚山南
己巳，以隋右武卫将军皇甫无逸为刑部尚书	己巳，任命隋右武卫将军皇甫无逸为刑部尚书
八月，薛举遣其子仁果进围宁州，刺史胡演击却之	八月，薛举派他的儿子薛仁果进军围攻宁州，唐宁州刺史胡演击退了薛仁果
郝瑗言于举曰：今唐兵新破，关中骚动，宜乘胜直取长安	郝瑗对薛举说：现在唐兵刚刚战败，关中骚动不安，应当乘胜直接攻取长安
举然之，会有疾而止	薛举同意他的意见，恰巧生了病没有实行
辛巳，举卒	辛巳，薛举去世
太子仁果立，居于折城，谥举为武帝	太子薛仁果继位，居住在折城，追谥薛举为武帝
上欲与李轨共图秦、陇，遣使潜诣凉州，招抚之，与之书，谓之从弟	唐高祖打算和李轨共同谋取秦、陇的薛举父子，派使节秘密地到凉州，招抚李轨，致李轨的书信，称李轨为堂弟
轨大喜，遣其弟懋入贡	李轨非常高兴，派遣弟弟李懋入贡于唐
上以懋为大将军，命鸿胪少卿张俟德册拜轨为凉州总管，封凉王	高祖任命李懋为大将军，命鸿胪少卿张俟德册拜李轨为凉州总管，封为凉王
初，朝廷以安阳令吕珉为相州刺史，更以相州刺史王德仁为岩州刺史	当初，朝廷任命安阳令吕珉为相州刺史，改任相州刺史王德仁为岩州刺史
德仁由是怨愤，甲申，诱山东大使宇文明达入林虑山而杀之，叛归王世充	王德仁因为此事愤恨不平，甲申，引诱山东大使宇文明达进林虑山并杀了他，叛唐归附了王世充
己丑，以秦王世民为元帅，击薛仁果	己丑，任命秦王李世民为元帅，攻打薛仁果
丁酉，临洮等四郡来降	丁酉，临洮等四郡前来降唐
宇文化及之发江都也，以杜伏威为历阳太守；伏威不受，仍上表于隋，皇泰主拜伏威为东道大总管，封楚王	宇文化及从江都出发时，以杜伏威为历阳太守；杜伏威没有接受他的任命，仍然向隋上表称臣，皇泰主拜杜伏威为东道大总管，封楚王
九月，隋襄国通守陈君宾来降，拜邢州刺史	九月，隋襄国通守陈君宾前来投降，官拜邢州刺史
君宾，伯山之子也	君宾是陈伯山的儿子
虞州刺史韦义节攻隋河东通守尧君素，久不下，军数不利；壬子，以工部尚书独孤怀恩代之	唐虞州刺史韦义节攻打隋河东通守尧君素，很久未能攻下，军队好几次陷于不利形势；壬子，命工部尚书独孤怀恩替代韦义节
初，李密既杀翟让，颇自骄矜，不恤士众；仓粟虽多，无府库钱帛，战士有功，无以为赏；又厚抚初附之人，众心颇怨	当初，李密杀了翟让后，很有点骄矜，不体恤广大士卒；虽然仓库里的粮食很多，但是没有钱币布帛，战士立了功，没有东西可以用来行赏；对新来归附的人又极其优待，广大士卒心里很不满
徐世尝因宴会刺讥其短；密不怿，使世出镇黎阳，虽名委任，实亦疏之	徐世曾趁宴会讽刺他的短处，李密不高兴，让徐世去镇守黎阳，名义上是委以重任，实际上是疏远他
庚申，陇州刺史陕人常达击薛仁果于宜禄川，斩首千余级	庚申，唐陇州刺史陕人常达在宜禄川攻击薛仁果，杀了一千多人
