春正月，初置骥厩丞，领受郡国调马	春季，正月，首次设立骥厩丞，负责接收和饲养从各郡、国征发来的马匹
北地先零羌及罕、河关群盗反，共立湟中义从胡北宫伯玉、李文侯为将军，杀护羌校尉泠徵	北地郡羌族的先零部落及罕、河关两地的盗贼起来反抗，共同拥立湟中的义勇首领胡人北宫伯玉和李文侯为将军，杀死护羌校尉泠征
金城人边章、韩遂素著名西州，群盗诱而劫之，使专任军政，杀金城太守陈懿，攻烧州郡	金城人边章、韩遂在西州素有盛名，起事者将其诱骗来，武力胁迫他们主持军政事务，杀死金城太守陈懿，攻打焚烧州郡官府
十二月，己巳，赦天下，改元	十二月，己巳，大赦天下，改年号为中平元年
春，正月，大疫	春季，正月，瘟疫到处流行
二月，己酉，南宫云台灾	二月，巳酉，洛阳南宫的云台发生火灾
庚戌，乐城门灾	庚戌，皇宫的乐城门又发生火灾
以朱俊为右车骑将军	任命朱俊为右车骑将军
自张角之乱，所在盗贼并起，博陵张牛角、常山褚飞燕及黄龙、左校、于氐根、张白骑、刘石、左髭文八、平汉大计、司隶缘城、雷公、浮云、白雀、杨凤、于毒、五鹿、李大目、白绕、眭固、苦蝤之徒，不可胜数，大者二三万，小者六七千人	自从张角举事之后，各地盗贼纷纷起事
	有博陵人张牛角、常山人褚飞燕以及
司徒袁隗免	司徒袁隗被免职
三月，以廷尉崔烈为司徒	三月，任命廷尉崔烈为司徒
烈，之从兄也	崔烈是崔的堂兄
北宫伯玉等寇三辅，诏左车骑将军皇甫嵩镇长安以讨之	北宫伯玉等进攻三辅地区，灵帝下诏，命左车骑将军皇甫嵩镇守长安，指挥大军进行讨伐
夏，四月，庚戌，大雨雹	夏季，四月，庚戌天降大雹
六月，以讨张角功，封中常侍张让等十二人为列侯	六月，灵帝以讨伐张角有功的名义，封中常侍张让等十二人为列侯
秋，七月，三辅螟	秋季，七月，三辅地区螟虫成灾
九月，以特进杨赐为司空	九月，任命特进杨赐为司空
冬，十月，庚寅，临晋文烈侯杨赐薨	冬季，十月，庚寅，临晋侯杨赐去世，被谥为文烈
以光禄大夫许相为司空	任命光禄大夫许相为司空
相，训之子也	许相是许训的儿子
春，二月，江夏兵赵慈反，杀南阳太守秦颉	春季，二月，江夏郡的兵士赵慈聚众造反，杀死南阳郡太守秦颉
庚戌，赦天下	庚戌，大赦天下
太尉张延罢	太尉张延被免职
遣使者持节就长安拜张温为太尉	灵帝派遣使者持符节到长安，任命张温为太尉
三公在外始于温	在京城以外任命三公，由张温开始
以中常侍赵忠为车骑将军	任命中常侍赵忠为车骑将军
帝使忠论讨黄巾之功，执金吾甄举谓忠曰：傅南容前在东军，有功不侯，天下失望	灵帝命赵忠评定讨伐黄巾军的功劳
今将军亲当重任，宜进贤理屈，以副众心	执金吾甄举对赵忠说：傅燮先前在征伐东方的黄巾军时，立有大功，但是未被封侯，天下人感到失望
忠纳其言，遣弟城门校尉延致殷勤于傅燮	如今将军亲负这项重任，应该推举贤人，审理冤情，以满足众人之心
延谓燮曰：南容少答我常侍，万户侯不足得也	赵忠采纳了甄举的意见，派他的弟弟城门校尉赵延去向傅燮致意
燮正色拒之曰：有功不论，命也	赵延对傅燮说：只要你肯稍稍接受我哥哥的友情，封万户侯则不在话下
傅燮岂求私赏哉	傅燮正色地拒绝他说：有功而未得到封赏，是我的命运不好，我岂能乞求私人的恩惠
忠愈怀恨，然惮其名，不敢害，出为汉阳太守	赵忠知道后，越发怀恨，然而顾忌傅燮的名望，不敢公开加以迫害，便任命他为汉阳郡太守，离开了京城
五月，壬辰晦，日有食之	五月，壬辰晦，出现日食
六月，荆州刺史王敏讨赵慈，斩之	六月，荆州刺史王敏讨伐赵慈，将他斩杀
车骑将军赵忠罢	车骑将军赵忠被免职
冬，十月，武陵蛮反，郡兵讨破之	冬季，十月，武陵蛮族反叛，武陵郡的军队将他们镇压下去
前太尉张延为宦官所谮，下狱死	前任太尉张延遭宦官们诬陷，被逮捕，死在狱中
十二月，鲜卑寇幽、并二州	十二月，鲜卑族侵掠幽州与并州
征张温还京师	征召张温回京城洛阳
春，正月，己卯，赦天下	春季，正月，己卯，大赦天下
十二月，屠各胡反	十二月，匈奴屠各胡部落反叛
是岁，卖关内侯，直五百万钱	本年，售卖关内侯，价格为五百万钱
春，正月，丁酉，赦天下	春季，正月，丁酉，大赦天下
二月，有星孛于紫宫	二月，有异星出现于紫微星旁
黄巾余贼郭大等起于河西白波谷，寇太原、河东	黄巾军残部郭大等人在河西白波谷起兵，进攻太原郡、河东郡
三月，屠各胡攻杀并州刺史张懿	三月，匈奴屠各部落进攻并州，杀并州刺史张懿
夏，四月，太尉曹嵩罢	夏季，四月，太尉曹嵩被免职
五月，以永乐少府南阳樊陵为太尉；六月，罢	五月，任命永乐少府南阳樊陵为太尉；六月，将他免职
益州贼马相、赵祗等起兵绵竹，自号黄巾，杀刺史俭，进击巴郡、犍为，旬月之间，破坏三郡，有众数万，自称天子	益州人马相、赵祗等在绵竹起兵，自称为黄巾，杀死刺史俭，进攻巴郡、犍为，不过一个月，连破三郡，有部众数万人，马相自称天子
州从事贾龙率吏民攻相等，数日破走，州界清静	益州从事贾龙等率领官吏及百姓进攻马相等，几天后将他们打败，马相等逃跑，益州界内安宁
龙乃选吏卒迎刘焉	贾龙于是选派官兵去迎接刘焉
郡国七大水	有七个郡、国发生水灾
秋，七月，以射声校尉马日为太尉	秋季，七月，任命射声校尉马日为太尉
日，融之族孙也	马日他是马融的族孙
以卫尉条侯董重为票骑将军	任命卫尉、条侯董重为票骑将军
重，永乐太后兄子也	董重是灵帝母亲永乐太后哥哥的儿子
冬，十月，青、徐黄巾复起，寇郡县	冬季，十月，青州、徐州的黄巾军再度起兵，攻掠郡县
十一月，王国围陈仓	十一月，王国包围陈仓
诏复拜皇甫嵩为左将军，督前将军董卓，合兵四万人以拒之	灵帝下诏再次任命皇甫嵩为左将军，统率前将军董卓，共有军队四万人，去抵抗王国
董卓谓皇甫嵩曰：陈仓危急，请速救之	董卓对皇甫嵩说：陈仓形势危急，请赶快救援
嵩曰：不然，百战百胜，不如不战而屈人兵	皇甫嵩说：不然，百战百胜，不如不战而胜
陈仓虽小，城守固备，未易可拔	陈仓虽小，但城垣坚固，守卫严密，不容易攻破
王国虽强，攻陈仓不下，其众必疲，疲而击之，全胜之道也，将何救焉	王国兵力虽强，但攻不下陈仓，部众必然疲乏，我们乘他们疲乏，发动攻击，这是获得彻底胜利的策略，用得着什么援救呢
国攻陈仓八十余日，不拔	王国围攻陈仓八十余天，未能攻破
幽州牧刘虞到部，遣使至鲜卑中，告以利害，责使送张举、张纯首，厚加购赏	幽州牧刘虞到任后，派使臣到鲜卑部落去，告诉他们利害，责令他们斩送张举和张纯的人头，悬以重赏
丘力居等闻虞至，喜，各遣译自归	丘力居等听说刘虞来到幽州，都很高兴，各派翻译来晋见刘虞，自动归降
举、纯走出塞，余皆降散	张举、张纯逃到塞外，所余部下全都投降或逃散
虞上罢诸屯兵，但留降虏校尉公孙瓒，将步骑万人屯右北平	刘虞上奏，请求将征集的各部队全部遣散，只留下降虏校尉公孙瓒，率领步、骑兵一万人，驻扎在右北平
三月，张纯客王政杀纯，送首诣虞	三月，张纯的门客王政刺杀张纯，带张纯的人头去见刘虞
公孙瓒志欲扫灭乌桓，而虞欲以恩信招降，由是与瓒有隙	公孙瓒决心用武力消灭乌桓部落，而刘虞想用恩德和信义来招降他们，因此两人之间产生矛盾
夏，四月，丙子朔，日有食之	夏季，四月，丙子朔，出现日食
蹇硕忌大将军进，与诸常侍共说帝遣进西击韩遂；帝从之	蹇硕忌恨大将军何进，与诸常侍共同劝说灵帝派遗何进西征韩遂，灵帝同意了
进阴知其谋，奏遣袁绍收徐、兖二州兵，须绍还而西，以稽行期	何进暗中获悉他们的阴谋后，上奏请求派袁绍到徐州和兖州去调集军队，要等到袁绍回来再进行西征，以便拖延行期
辛酉，葬孝灵皇帝于文陵	辛酉，把灵帝安葬在文陵
何进惩蹇硕之谋，称疾，不入陪丧，又不送出陵	何进警惕会发生蹇硕那样的阴谋，自称有病，不入宫去陪丧，也不送灵帝的棺椁到墓地
大水	发生水灾
秋，七月，徒勃海王协为陈留王	秋季，七月，改封勃海王刘协为陈留王
司徒丁宫罢	司徒丁宫被免职
诏除公卿以下子弟为郎，以补宦官之职，侍于殿上	下诏，任命朝中公卿及以下官员的子弟为郎官，以填补原来由宦官担任的职务，在宫殿侍侯皇帝
乙酉，以太尉刘虞为大司马，封襄贲侯	乙酉，任命太尉刘虞为大司马，封襄贲侯
董卓自为太尉，领前将军事，加节传、斧钺、虎贲，更封侯	董卓自己担任太尉，兼前将军，并加赐代表皇帝权力的符节，以及作为仪仗的斧钺和虎贲卫士，进封为侯
丙戌，以太中大夫杨彪为司空	丙戌，任命太中大夫杨彪为司空
甲午，以豫州牧黄琬为司徒	甲午，任命豫州牧黄琬为司徒
董卓率诸公上书，追理陈蕃、窦武及诸党人，悉复其爵位，遣使吊祠，擢用其子孙	董卓率领三公等大臣上书，请求重新审理陈蕃、窦武以及党人的案件，一律恢复爵位，派使者去祭悼他们的坟墓，并擢用他们的子孙为官
自六月雨至于是月	自六月到九月，大雨连绵不断
冬，十月，乙巳，葬灵思皇后	冬季，十月，乙巳，安葬何太后
白波贼寇河东，董卓遣其将牛辅击之	白波叛军进攻河东郡，董卓派部下将领牛辅率军讨伐
十二月，戊戌，以司徒黄琬为太尉，司空杨彪为司徒，光禄勋荀爽为司空	十二月，戊戌，任命司徒黄琬为太尉，司空杨彪为司徒，光禄勋荀爽为司空
诏除光熹、昭宁、永汉三号	下诏废除光熹、昭宁、永汉三个年号，仍称本年为中平六年
辛亥，赦天下	辛亥，大赦天下
癸酉，董卓使郎中令李儒鸩杀弘农王辩	癸酉，董卓派郎中令李儒用毒酒杀死了弘农王刘辩
董卓以袁绍之故，戊午，杀太傅袁隗、太仆袁基，及其家尺口以上五十余人	董卓因袁绍的缘故，戊午，杀死太傅袁隗、太仆袁基，及其袁家婴孩以上的五十余口
董卓在雒阳，袁绍等诸军皆畏其强，莫敢先进	董卓镇守洛阳，袁绍等各部队都畏惧董卓军力强盛，无人胆敢先行进攻
曹操曰：举义兵以诛暴乱，大众已合，诸君何疑	曹操说：我们兴起义兵来诛除暴乱，大军已经集结，诸位还有什么迟疑
向使董卓倚王室，据旧京，东向以临天下，虽以无道行之，犹足为患	假如董卓倚仗皇帝的权威，据守洛阳，向东进军，尽管他凶残无道，也会成为我们的大患
今焚烧宫室，劫迁天子，海内震动，不知所归，此天亡之时也，一战而天下定矣	如今他烧毁宫殿，强迫天子迁徒，全国震动，不知道该跟从谁，这正是上天赐予我们灭亡董卓的时机，一战就可以平定天下
遂引兵西，将据成，张邈遣将卫兹分兵随之	于是，曹操率军向西进发，准备攻占成，张邈拨出部分军队，派部将卫兹率领，随曹操一同进军
进至荥阳汴水，遇卓将玄菟徐荣，与战，操兵败，为流矢所中，所乘马被创	曹军行进到荥阳汴水，与董卓部将玄菟人徐荣的部队相遇，双方交战，曹军战败
从弟洪以马与操，操不受	曹操被流箭射中，所骑的马也受了伤
洪曰：天下可无洪，不可无君	他的堂弟曹洪把马让给他，他不肯接受，曹洪说：天下可以没有曹洪，不可以没有您
遂步从操，夜遁去	于是曹操上马，曹洪步行跟从，乘着黑夜逃走
荣见操所将兵少，力战尽日，谓酸枣未易攻也，亦引兵还	而徐荣见曹操虽然兵少，但奋战了一整天才败退，认为酸枣不容易攻破，也率军返回
五月，司空荀爽薨	五月，司空荀爽去世
六月，辛丑，以光禄大夫种拂为司空	六月，辛丑，任命光禄大夫种拂为司空
拂，邵之父也	种拂是种邵的父亲
董卓遣大鸿胪韩融、少府阴、执金吾胡班、将作大匠吴、越骑校尉王安集关东，解譬袁绍等	董卓派大鸿胪韩融、少府阴、执金吾胡毋班、将作大匠吴、越骑校尉王去招抚关东将领，劝说袁绍等人服从朝廷
胡毋班、吴，王至河内，袁绍使王匡悉收击杀之	胡毋班、吴、王走到河内，袁绍命令王匡把他们全都抓起来杀掉
袁术亦杀阴；惟韩融以名德免	袁术也杀死了阴，只有韩融因德高望重，免于一死
王匡屯河阳津，董卓袭击，大破之	王匡驻在河阳津，董卓派军袭击，大破王匡军队
左中郎将蔡邕议：孝和以下庙号称宗者，皆宜省去，以遵先典	左中郎将蔡邕提议：孝和帝以后的皇帝，庙号称宗的，都应该撤去，以遵循传统的典制
从之	献帝同意
春，正月，辛丑，赦天下	春季，正月，辛丑，大赦天下
二月，丁丑，以董卓为大师，位在诸侯王上	二月，丁丑，任命董卓为太师，地位在诸侯王之上
孙坚移屯梁东，为卓将徐荣所败，复收散卒进屯阳人	孙坚率军移驻梁县以东，被董卓部将徐荣打败，他又收集残部进驻阳人
卓遣东郡太过胡轸督步骑五千击之，以吕布为骑督	董卓派遣东郡太守胡轸统率步、骑兵五千人，攻打孙坚，任命吕布为骑督
轸与布不相得，坚出击，大破之，枭其都督华雄	胡轸与吕布不和，孙坚出来迎战，大破胡轸，斩杀他部下的都督华雄
六月，丙戌，地震	六月，丙戌，发生地震
秋，七月，司空种拂免；以光禄大夫济南淳于嘉为司空	秋季，七月，司空种拂被免职，任命光禄大夫、济南人淳于嘉为司空
太尉赵谦罢；以太常马日为太尉	太尉赵谦被免职，任命太常马日为太尉
南单于劫张杨以叛袁绍，屯于黎阳	南匈奴单于於抚罗动持张杨，背叛了袁绍，驻军黎阳
董卓以杨为建义将军、河内太守	董卓任命张杨为建义将军，河内郡太守
春，正月，丁丑，赦天下	春季，正月，丁丑，大赦天下
董卓遣牛辅将兵屯陕，辅分遣校尉北地李、张掖郭汜、武威张济将步骑数万击破朱俊于中牟，因掠陈留、颖川诸县，所过杀虏无遗	董卓派牛辅率军驻在陕县，牛辅分别派遣校尉北地人李、张掖人郭汜、武威人张济率领步、骑兵数万人袭击中牟，大败朱俊，并沿抢掠陈留、颖川两郡所属各县，所过之处，烧杀掳掠，人民几乎死尽
曹操军顿丘，于毒等攻东武阳	曹操驻军顿丘，于毒等进攻东武阳
操引兵西入山，攻毒等本屯	曹操命令军队西行入山，前去攻击于毒等的营寨
诸将皆请救武阳	部下将领全都请求援救东武阳
操曰：使贼闻我西而还，武阳自解也；不还，我能败其本屯，虏不能拔武阳必矣	曹操说：让叛匪听说我们西行，如果他们回来救援，那么东武阳的包围不救自解；如果他们不回来，那么我们能够攻下他们的营寨，而他们肯定不能攻下武阳
遂行	于是率军出发
毒闻之，弃武阳还	于毒听说曹军西行，便放弃东武阳，赶回来援救营寨
操遂击眭固及匈奴於扶罗于内黄，皆大破之	曹操乘势进军内黄，向眭固及南匈奴单于於扶罗发动进攻，大败这两支队伍
五月，以征西将军皇甫嵩为车骑将军	五月，任命征西将军皇甫嵩为车骑将军
吕布自武关奔南阳，袁术待之甚厚	吕布途经武关到南阳投奔袁术，袁术待他十分优厚
布自恃有功于袁氏，恣兵销掠	吕布认为自己杀死了董卓，对袁家有功，因此放纵部下士兵抢掠，袁术对此不满
术患之，布不自安，去从张杨于河内	吕布察觉后，心不自安，便离开袁术，去河内投奔张杨
李等购求布急，布又逃归袁绍	李等人悬赏捉拿吕布，形势很紧，吕布又从张杨处逃走，改投袁绍
丙子，以前将军赵谦为司徒	丙子，任命前将军赵谦为司徒
诏太傅马日、太仆赵岐杖节镇抚关东	献帝下诏，命令太傅马日、太仆赵岐持符节去安抚关东诸州、郡
九月，以李为车骑将军、领司隶校尉、假节；郭汜为后将军，樊稠为右将军，张济为骠骑将军，皆封侯	九月，任命李为车骑将军，兼任司隶桃尉，假节；任命郭汜为后将军，樊稠为右将军，张济为骠骑将军，都封为侯爵
、汜、稠管朝政，济出屯弘农	李、郭汜、樊稠掌管朝政，张济出京，率军驻在弘农郡
司徒赵谦罢	司徒赵谦被免职
甲申，以司空淳于嘉为司徒，光禄大夫杨彪为司空，隶尚书事	甲申，任命司空淳于喜为司徒，光禄大夫杨彪为司空，主持尚书事务
冬，十月，荆州刺史刘表遣使贡献	冬季，十月，荆州刺史刘表派遗使者到长安进献贡品
以表为镇南将军荆州牧，封成武侯	任命刘表为镇南将军、荆州牧，封成武侯
十二月，太尉皇甫嵩免，以光禄大夫周忠为太尉，参录尚书事	十二月，太尉皇甫嵩被免职，任命光禄大夫周忠为太尉，参与主持尚书事务
公孙瓒复遣兵击袁绍，至龙凑，绍击破之	公孙瓒又派遣军队进攻袁绍，到达龙凑，被袁绍军队击败
瓒遂还幽州，不敢复出	公孙瓒于是退回幽州，不敢再出来
春，正月，甲寅朔，日有食之	春季，正月，甲寅朔，出现日食
丁卯，赦天下	丁卯，大赦天下
袁绍与公孙瓒所置青州刺史田楷连战二年，士卒疲困，粮食并尽，互掠百姓；野无青草	袁绍与公孙瓒所委任的青州刺史田楷连续作战两年，军队疲惫不堪，粮食全都吃尽，因抢掠百姓致使田地间连青草都难得见到
绍以其子谭为青州刺史，楷与战，不胜	袁绍任命自己的儿子袁谭为青州刺史，田楷进攻袁谭，未能取胜
会赵岐来和解关东，乃与绍和亲，各引兵去	正好朝廷派赵岐前来调解关东各州、郡的矛盾，公孙瓒于是与袁绍结为儿女亲家，各自率兵退回
三月，袁绍在薄落津	三月，袁绍驻军薄落津
魏郡兵反，与黑山贼于毒等数万人共覆邺城，杀其太守	这时，他属下魏郡的士兵叛变，与黑山军于毒等数万人联合，攻占邺城，杀死魏郡太守
绍还屯斥丘	袁绍率军回到斥丘
夏，曹操还军定陶	夏季，曹操大军回到定陶
六月，扶风大雨雹	六月，扶风郡下了大冰雹
华山崩裂	华山发生山崩
太尉周忠免，以太仆朱俊为太尉，录尚书事	太尉周忠被免职，任命太仆朱俊为太尉，主持尚书事务
大雨，昼夜二十余日，漂没民居	大雨昼夜不停地持续二十余日，淹没了许多百姓的住宅
冬，十月，辛丑，京师地震	冬季，十月，辛丑，京城长安发生地震
有星孛于天市	有异星出现在天市星旁
司空杨彪免	司空杨彪被免职
丙午，以太常赵温为司空，录尚书事	丙午，任命太常赵温为司空，主持尚书事务
十二月，辛丑，地震	十二月，辛丑，发生地震
司空赵温免	司空赵温被免职
乙巳，以卫尉张喜为司空	乙巳，任命卫尉张喜为司空
春，正月，辛酉，赦天下	春季，正月，辛酉，大赦天下
甲子，帝加元服	甲子，献帝举行加冠礼
二月，戊寅，有司奏立长秋宫	二月，戊寅，有关部门奏请献帝选立皇后
诏曰：皇妣宅兆未卜，何忍言后宫之选乎	献帝下诏说：我母亲安葬的地方还未定，怎么忍心谈挑选后妃的事呢
壬午，三公奏改葬皇妣王夫人，追上尊号曰灵怀皇后	壬午，三公上奏，请将献帝的母亲王美人改葬到灵帝之陵，并追加尊号，称灵怀皇后
曹操使司马荀、寿张令程昱守甄城，复往攻陶谦，遂略地至琅邪、东海，所过残减	曹操委派司马荀、寿张县令程昱留守鄄城，自己再次前往徐州进攻陶谦，于是沿途攻掠，直到琅邪、东海，所过之处受到严重破坏
还，击破刘备于郯东	大军返回，又在郯县以东击败刘备的军队
谦恐，欲走归丹阳	陶谦震恐，打算逃回丹阳
会陈留太守张邈叛操迎吕布，操乃引军还	正在这时，陈留太守张邈背叛曹操，迎接吕布入兖州，于是曹操撤军，回救兖州
河西四郡以去凉州治远，隔以河寇，上书求别置州	河西的敦煌、酒泉、张掖、武威四郡，因为距离凉州官府所在地冀县太远，而且交通又被盗寇阻断，因此上书请求另外设置一州
六月，丙子，诏以陈留邯郸商为雍州刺史，典治之	六月，丙子，下诏设置雍州，任命陈留人邯郸商为雍州刺史，治理河西四郡事务
乙酉晦，日有食之	乙酉晦，出现日食
秋，七月，壬子，太尉朱俊免	秋季，七月，壬子，太尉朱俊被免职
戊午，以太常杨彪为太尉，录尚书事	戊午，任命太常杨彪为太尉，主持尚书事务
甲子，以镇南将军杨定为安西将军，开府如三公	甲子，任命镇南将军杨定为安西将军，允许他开府置僚属，待遇与三公相同
八月，冯翊羌寇属县，郭汜、樊稠等率众破之	八月，冯翊地区的羌族人进攻属下各县，郭汜、樊稠率军将其击败
十二月，司徒淳于嘉罢，以卫尉赵温为司徒，录尚书事	十二月，司徒淳于嘉被免职，任命卫尉赵温为司徒，主持尚书事务
春，正月，癸丑，赦天下	春季，正月，癸丑，大赦天下
曹操败吕布于定陶	曹操在定陶击败吕布
诏即拜袁绍为右将军	朝廷下诏派使者到邺城，就地任命袁绍为右将军
夏，四月，甲子，立贵人琅邪伏氏为皇后；以后父侍中完为执金吾	夏季，四月，甲子，献帝立贵人、琅邪人伏氏为皇后，任命皇后的父亲、侍中伏完为执金吾
曹操围雍丘，张邈诣袁术求救，未至，为其下所杀	曹操率军包围雍丘，张邈去见袁术请求救援，他还没有走到，就被自己部下杀死
冬，十月，以曹操为兖州牧	冬季，十月，任命曹操为兖州牧
戊戌，郭汜党夏育、高硕等谋胁乘舆西行	戊戌，郭汜的党羽夏育、高硕等策划劫持献帝西行，先纵火扰乱人心
侍中刘艾见火起不止，请帝出幸一营以避火	侍中刘艾看到火起不息，就请献帝到其他军营中躲避火势
杨定、董承将兵迎天子幸杨奉营，夏育等勒兵欲止乘舆，杨定、杨奉力战，破之，乃得出	杨定、董承率军接献帝到杨奉营，夏育等出兵企图阻拦献帝，杨定、杨奉奋力作战，击败夏育等，献帝才得以逃出
壬寅，行幸华阴	壬寅，献帝抵达华阴
南单于於扶罗死，弟呼厨泉立，居于平阳	南匈奴单于於扶罗去世，他弟弟呼厨泉继位，率部驻在平阳
春，正月，癸酉，大赦，改元	春季，正月，癸酉，大赦天下，改年号为建安元年
董承、张杨欲以天子还雒阳，杨奉、李乐不欲，由是诸将更相贰	董承、张杨打算护送献帝回洛阳，杨奉、李乐不同意，于是将领们进一步相互猜疑
二月，韩暹攻董承，承奔野王	二月，韩暹进攻董承，董承败走，投奔驻在野王的张杨
韩暹屯闻喜，胡才、杨奉之坞乡	韩暹驻军闻喜，胡才、杨奉率军前往坞乡
胡才欲攻韩暹，上使人喻止之	胡才准备进攻韩暹，献帝派人传旨，阻止他进军
汝南、颖川黄巾何仪等拥众附袁术，曹操击破之	汝南、颖川的黄巾军首领何仪等率众投靠袁术，曹操出军击溃何仪等
张杨使董承先缮修雒阳宫	张杨派董承先去修缮被董卓烧毁的洛阳宫殿
太仆赵岐为承说刘表，使遣兵诣雒阳，助修宫室；军资委输，前后不绝	太仆赵岐为董承去说服刘表，使刘表派兵到洛阳，协助修缮宫殿，并源源不断地输送军用物资和粮草
夏，五月，丙寅，帝遣使至杨奉、李乐、韩暹营，求送至雒阳，奉等从诏	夏季，五月，丙寅，献帝派使者到杨奉、李乐、韩暹等人营中，要求他们护送自己返回洛阳，杨奉等听从诏命
六月乙未，车驾幸闻喜	六月，乙未，献帝抵达闻喜
九月，司徒淳于嘉、太尉杨彪、司空张喜皆罢	九月，司徒淳于嘉、太尉杨彪、司空张喜被免职
车驾之东迁也，杨奉自梁欲邀之，不及	曹操护送献帝从洛阳向东迁到许县时，杨奉从梁地出兵想要阻拦，但未来得及
冬，十月，曹操征奉，奉南奔袁太，遂攻其梁屯，拔之	冬季，十月，曹操出兵征讨杨奉，杨奉向南投奔袁术，曹操攻陷了杨奉在梁地的营寨
袁术畏吕布为已害，乃为子求婚，布复许之	袁术害怕吕布危害自己，就为儿子向吕布女儿求婚，吕布答应了
术遣将纪灵等步骑三万攻刘备，备求救于布	袁术派遣部将纪灵等率领步、骑兵三万进攻刘备，刘备向吕布求救
诸将谓布曰：将军常欲杀刘备，今可假手于术	吕布属下的将领们对吕布说：将军一直想杀刘备，这次可以借袁术的手来实现
布曰：不然	吕布说：不然
术若破备，则北连泰山诸将，吾为在术围中，不得不救也	袁术如果击溃刘备，就可以向北联络泰山的诸将领，我就将陷入袁术的包围之中，因此不能不救刘备
便率步骑千余驰往赴之	吕布便率领步、骑兵一千余人急速赶赴刘备处
灵等闻布至，皆敛兵而止	纪灵等听说吕布前来，都收兵回营，停止攻战
布屯沛城西南，遣铃下请灵等，灵等亦请布，布往就之，与备共饮食	吕布驻军沛城西南，派遣侍卫去请纪灵等人，纪灵等也派人来请吕布，吕布就前往纪灵营中，邀请刘备一起赴宴
