春，正月，甲申，魏主备法驾，诣道坛受符，旗帜尽青	春季，正月，甲申，北魏国主拓跋焘备好车驾，打着全青色的旗帜来到道教神坛前接受符
山蛮前后不可制者皆出，缘沔为村落，户口殷盛	一直藏在山中没人能制服的山蛮都走出深山，沿着沔水定居下来，而且人丁兴旺
及卒，蛮追送至沔口	刘道产死后，山蛮们一直送他的灵柩到沔口
未几，群蛮大动，征西司马朱之讨之，不利；诏建威将军沈庆之代之，杀虏万余人	不久，山蛮纷纷叛乱，征西司马朱之出兵讨伐，没有成功；文帝诏令建威将军沈庆之代替朱之前去讨伐山蛮，结果杀伤俘虏山蛮一万多人
甲午，立皇子诞为广陵王	甲午，刘宋立皇子刘诞为广陵王
丁酉，魏大赦	丁酉，北魏实行大赦
己亥，魏主如阴山	己亥，北魏国主拓跋焘前去阴山
甲子，前雍州刺史刘真道、梁·南秦二州刺史裴方明坐破仇池减匿金宝及善马，下狱死	甲子，刘宋前雍州刺史刘真道，梁、南秦二州刺史裴方崐明被查出在仇池侵吞金银财宝及良马一事，被抓进牢狱，处以死刑
春，正月，己亥，帝耕藉田，大赦	春季，正月，己亥，刘宋文帝举行亲耕仪式，实行大赦
二月，辛未，魏中山王辰、内都坐大官薛辨、尚书奚眷等八将坐击柔然后期，斩于都南	二月，辛未，北魏中山王拓跋辰、内都坐大官薜辨、尚书奚眷等八名将领因在攻打柔然时没能按时到达，在平城南郊被斩首
庚辰，魏主幸庐	庚辰，北魏国主来到卢地
己丑，江夏王义恭进位太尉，领司徒	己丑，刘宋江夏王刘义恭晋升太尉，兼任司徒
庚寅，以侍中、领右卫将军沈演之为中领军，左卫将军范晔为太子詹事	庚寅，刘宋任命侍中、兼右卫将军沈演之为中领军，左卫将军范晔为太子詹事
辛卯，立皇子宏为建平王	辛卯，刘宋立皇子刘宏为建平王
三月，甲辰，魏主还宫	三月，甲辰，北魏国主回到皇宫
癸丑，魏主遣司空长孙道生镇统万	癸丑，北魏国主派司空长孙道生镇守统万
夏，四月，乙亥，魏侍中、太宰、阳平王杜超为帐下所杀	夏季，四月，乙亥，北魏侍中、太宰、阳平王杜超被手下的卫士杀死
六月，魏北部民杀立义将军衡阳公莫孤，帅五千余落北走，遣兵追击之，至漠南，杀其渠师，余徒冀、相、定三州为营户	六月，北魏北方地区百姓杀了立义将军衡阳公莫孤，聚集五千多帐落崐向北逃去，北魏朝廷派兵前去追击，追到漠南，杀了他们的首领，其余的百姓则迁到冀、相、定三州成为营户
吐谷浑王慕利延兄子纬世与魏使者谋降魏，慕利延杀之	吐谷浑可汗慕容慕利延的侄子慕容纬世同北魏使节密谋要向北魏投降，慕容慕利延杀了他
是月，纬世弟叱力延等八人奔魏，魏以叱力延为归义王	这个月，慕容纬世的弟弟慕容叱力延等八人投奔北魏，北魏朝廷封慕容叱力延为归义王
沮渠无讳卒，弟安周代立	沮渠无讳去世，其弟沮渠安周代替他为王
魏入中国以来，虽颇用古礼祀天地、宗庙、百神，而犹循其旧俗，所祀胡神甚众	北魏进入中原以来，虽然也常常使用古代礼仪来祭祀天地、祖庙和各种神灵，却仍在沿循旧有习俗，祭祀的胡族神很多
崔浩请存合于祀典者五十七所，其余复重及小神悉罢之	司徒崔浩请求只留下符合祭祀典章的五十七所寺庙，其余重复的寺庙和过小的神祗都取消
魏主从之	北魏国主同意他的建议
秋，七月，癸卯，魏东雍州刺史沮渠秉谋反，伏诛	秋季，七月，癸卯，北魏东雍州刺史沮渠秉图谋造反，被朝廷处死
魏主使员外散骑常侍高济来聘	北魏国主拓跋焘派员外散骑常侍高济去刘宋探访
戊辰，以荆州刺史衡阳王义季为征北大将军、开府仪同三司、南兖州刺史，以南谯夫义宣为荆州刺史	戊辰，刘宋朝廷任命荆州刺史衡阳王刘义季为征北大将军、开府仪同三司和南兖州刺史，南谯王刘义宣为荆州刺史
初，帝以义宣不才，故不用，会稽公主屡以为言，帝不得已用之	当初，文帝认为刘义宣没有什么才能，因而不用他，姐姐会稽公主总是替刘义宣说话，文帝才不得不用他
先赐中诏敕之曰：师护以在西久，比表求还，今欲听许，以汝代之	正式诏令下达之前，文帝先给他下了一份手诏，告诫他说：师护在西边呆得时间太长了，近来表奏要求回来，现在我打算答应他，让你接替他的职务
师护虽无殊绩，洁已节用，通怀期物，不恣群下，声著西土，崐为士庶所安，论者乃未议迁之	师护虽然没有特殊的成就，但他洁身自好，俭朴廉正，胸怀宽广，待人诚实，不骄纵属下，因而其声名在西部广为传诵，被士族和平民所拥戴，监察论政的人才没有提出调他离任的动议
今之回换，更为汝与师护年时一辈，欲各试其能	现在我换了你，还是因为你跟师护辈份一样，想试试你们各自的能力
汝往，脱有一事减之者，既于西夏交有巨碍，迁代之讥，必归责于吾矣	你去西边，假若有一件事处理得不如他，就会同荆楚一带产生隔阂，讥刺我换人不当，将责任归于我一身
此事亦易勉耳，无为使人复生评论也	对这个差事，你也不过就是努力治理，谨慎为之罢了，不能让别人又来指指点点，说出别的话来
义宣至镇，勤自课厉，事亦修理	刘义宣到了他的住地，勤勉严格，各种事务做得也很有条不紊
吐谷浑叱力延等请师于魏以讨吐谷浑王慕利延，魏主使晋王伏罗督诸军击之	吐谷浑的慕容叱力延等请求北魏朝廷出兵讨伐吐谷浑可汗慕容慕利延，北魏国主派晋王拓跋伏罗督统各路大军袭击慕容慕利延
九月，甲辰，以沮渠安周为都督凉·河·沙三州诸军事、凉州刺史、河西王	九月，甲辰，刘宋朝廷任命沮渠安周为都督凉、河、沙三州诸军事，凉州刺史和河西王
丁未，魏主如漠南，将袭柔然，柔然敕连可汗远遁，乃止	丁未，北魏国主前去漠南，准备袭击柔然，柔然敕连可汗远远逃走，于是停止
敕连寻卒，子吐贺真立，号处罗可汗	不久，敕连可汗去世，他的儿子郁久闾吐贺真继位，号称处罗可汗
冬，十月，己卯，以左军将军徐琼为兖州刺史，大将军参军申恬为冀州刺史	冬季，十月，己卯，刘宋任命左军将军徐琼做兖州刺史，大将军参军申恬为冀州刺史
徙兖州镇须昌，冀州镇历下	将兖州的治所迁到须昌，冀州治所迁到了历下
恬，谟之弟也	申恬是申谟的弟弟
十二月魏主还平城	十二月，北魏国主回到了平城
春，正月，辛卯朔，始行新历	春季，正月，辛卯朔，刘宋开始使用新历法
初，汉京房以十二律中吕上生黄钟，不满九寸，更演为六十律	当初，西汉京房将十二音律中的中吕、上生、黄钟，凡没有超过九寸的，都改到六十音律
钱乐之复演为三百六十律，日当一管	钱乐之又把它扩大到三百六十音律
何承天立议，以为上下相生，三分损益其一，盖古人简易之法，犹如古历周天三百六十五度四分度之一也	每日使用一种乐器
而京房不悟，谬为六十	何承天提出见解，认为上下相生，于三分之中增减其一，是古人所用的简便易行的方法，如同古代历法中的能见到的天空三百六十五度四分度中的一个单位，但京房却没有明白其中的真义，而把它错误地定为六十
乃更设新律，林钟长六寸一厘，则从中吕还得黄钟，十二旋宫，声韵无失	于是，何承天改设新的音律，林钟长六寸一厘，便从中吕回到黄钟的位置，每十二律吕又回到第一音级，声韵毫无损失
壬辰，以武陵王骏为雍州刺史	壬辰，刘宋文帝任命武陵王刘骏为雍州刺史
帝欲经略关、河，故以骏镇襄阳	文帝想要收回关、河一带北方土地，因此让刘骏去镇守襄阳
魏主使散骑常侍宋来聘	北魏国主让散骑常侍宋来刘宋探访
二月，魏主如上党，西至吐京，讨徙叛胡，出配郡县	二月，北魏国主来到上党，西到吐京，征讨并迁移叛变的胡人，将他们发配到各郡县
甲戌，立皇子为东海王，昶为义阳王	甲戌，文帝立皇子刘为东海王，刘昶为义阳王
三月，庚申，魏主还宫	三月庚申，北魏国主返回平城
魏诏：诸疑狱皆付中书，以经义量决	北魏朝廷下诏说：所有有疑问的诉讼案件都交给中书，中书凭借经典来衡量裁决
夏，四月，庚戌，魏主遣征西大将军高凉王那等击吐谷浑王慕利延于白兰，秦州刺史代人封敕文、安远将军乙乌头击慕利延兄子什归于罕	夏季，四月，庚戌，北魏国主派遣征西大将军高凉王拓跋那等人在白兰袭击逃亡的吐谷浑可汗慕容慕利延，秦州刺史代郡人封敕文、安远将军乙乌头在罕向慕容慕利延的侄子慕容什归发起了进攻
六月，壬辰，魏主北巡	六月，壬辰，北魏国主到北方巡视
帝谋伐魏，罢南豫州入豫州，以南豫州刺史南平王铄为豫州刺史	文帝计划讨伐北魏，他先撤销南豫州，将其归并到豫州，任命南豫州刺史南平王刘铄为豫州刺史
秋，七月，己未，以尚书仆射孟为左仆射，中护军何尚之为右仆射	秋季，七月，己未，刘宋文帝任命尚书仆射孟为左仆射，中护军何尚之为右仆射
吐谷浑什归闻魏军将至，弃城夜遁	吐谷汗的慕容什归听说北魏军将要到达罕，他放弃城池，连夜逃走
八月，丁亥，封敕文入罕，分徙其民千家还上，留乙乌头守罕	八月，丁亥，封敕文进入罕，将一千多户百姓迁入上，让乙乌头留守罕
魏主如阴山之北，发诸州兵三分之一，各于其州戒严，以须后命	北魏国主到了阴山之北，下令发动每个州三分之一的兵力在本州警戒，等待以后命令
徙诸种杂民五千余家于北边，令就北畜牧，以饵柔然	把五千多户不同民族的居民迁移到北方边地，让他们在北方放牧牲畜，以引诱柔然
十一月，魏发冀州民造浮桥于津	十一月，北魏调遣冀州百姓在津建造浮桥
辛未，魏主还宫	辛未，北魏国主回到平城宫内
魏选六州骁骑二万，使永昌王仁、高凉王那分将之为二道，掠淮、泗以北，徙青、徐之民以实河北	北魏从六个州中选出二万骁勇骑兵，派永昌王拓跋仁、高凉王拓跋那分别统率，分二路劫淮河、泗水以北的地方，迁移青州、徐州老百姓充实河北
癸未，魏主西巡	癸未，北魏国主去西部巡察
徐湛之所陈多不尽，为晔等辞所连引，上赦不问	丹杨尹徐湛之向文帝告发，有很多没有陈说出来，被范晔等人在供词中牵连出来，但文帝赦免了他，不再追究
臧质，熹之子也，先为徐、兖二州刺史，与晔厚善，晔败，以为义兴太守	臧质是臧熹的儿子，曾经做徐、兖二州的刺史，与范晔关系很好，范晔被处死之后，文帝调他做了义兴太守
初，江左二郊无乐，宗庙虽有登歌，亦无二舞	当初，江东南、北郊祭时还都没有音乐，皇室祖庙虽然有祭祀时唱的歌，但也没有文、武这二种舞蹈
是岁，南郊始设登歌	这一年，南郊祭祀开始作了祭祀歌
春，正月，庚申，尚书左仆射孟罢	春季，正月，庚申，刘宋尚书左仆射孟被免职
魏主徙长安工巧二千家于平城	北魏国主将长安的工匠、巧匠二千户迁到平城
还，至洛水，分军诛李闰叛羌	回师，走到洛水，北魏国主又派出部分军队诛杀以李闰为首反叛的羌族部落
太原颜白鹿私入魏境，为魏人所得，将杀之，诈云青州刺史杜骥使其归诚	刘宋太原人颜白鹿私下进入北魏境内，被北魏抓获，要杀他，他欺骗对方说，青州刺史杜骥派他来归降北魏
魏人送白鹿诣平城，魏主喜曰：我外家也	北魏人将颜白鹿送到平城，北魏国主高兴地说：杜骥是我外公的一家子
使崔浩作书与骥，且命永昌王仁、高凉王那将兵迎骥，攻冀州刺史申恬于历城；杜骥遣其府司马夏侯祖欢等将兵救历城	北魏国主让崔浩给杜骥写信，并且命令永昌王拓跋仁、高凉王拓跋那率军迎接杜骥，并到历城攻伐冀州刺史申恬
魏人遂寇兖、青、冀三州，至清东而还，杀掠甚众，北边骚动	杜骥派他的司马夏侯祖欢等人统率军队前去历城援救，北魏军队攻打兖、青、冀三州，直打到清水东边才回来，诛杀掳掠了许多人，刘宋北部边境的百姓深感不安，有些骚动
夏，四月，甲申，魏主至长安	夏季，四月，甲申，北魏国主到达长安
丁未，大赦	丁未，刘宋实行大赦
盖吴收兵屯杏城，自号秦地王，声势复振	北魏叛民领盖吴收集残余部众屯居杏城，自封秦地王，声势又高涨起来
魏主遣永昌王仁，高凉王那督北道诸军计之	北魏国主派永昌王拓跋仁、高凉王拓跋那督统北道各路军队前去讨伐
六月，癸未朔，日有食之	六月，癸未朔，出现日食
甲申，魏发冀、相、定三州兵二万人屯长安南山诸谷，以备盖吴窜逸	甲申，北魏出动冀、相、定三州二万兵，屯驻长安南山各个山谷中，防备盖吴败后窜逃到别的地方去
丙戌，又发司、幽、定、冀四州兵十万人筑畿上塞围，起上谷，西至河，广纵千里	丙戌，又出动司、幽、定、冀四州十万兵修筑京畿外围的要塞，这一工程东起上谷、西到黄河，绵延覆盖达一千里
帝筑北堤，立玄武湖，筑景阳山于华林园	刘宋文帝下令修筑北堤，建造玄武湖，在华林园建造景阳山
是岁，吐谷浑复还旧土	这一年，吐谷浑汗国又回到过去的土地上生活
春，正月，甲戌，大赦	春季，正月，甲戌，刘宋实行大赦
癸未，魏主如中山	癸未，北魏国主拓跋焘前往中山
魏人徒定州丁零三千家于平城	北魏将定州的丁零部落三千户迁到了平城
六月，魏西征诸将扶风公处真等八人，坐盗没军资及虏掠赃各千万计，并斩之	六月，北魏西征诸将领扶风公拓跋处真等八名大将因盗卖和吞没军用物资，及抢夺掳掠赃物每人各得钱财数以千万计，一起被处死
秋，八月，乙未，徐州刺史衡阳文王义季卒	秋季，八月，乙未，刘宋徐州刺史衡阳文王刘义季去世
义季自彭城王义康之贬，遂纵酒不事事	自从彭城王刘义康被贬后，刘义季就开始纵酒，不做他应该做的事
帝以书诮责，且戒之；义季犹酣饮自若，以至成疾而终	文帝写信讥讽责备，并且劝诫他，刘义季还是一如既往地豪饮不止，以致因酗酒过度成病而死
魏乐安宣王范卒	北魏乐安宣王拓跋范去世
十一月，甲寅，封皇子浑为汝阴王	十一月，甲寅，封皇子刘浑为汝阴王
十二月，魏晋王伏罗卒	十二月，北魏晋王拓跋伏罗去世
杨文德据葭芦城，招诱氐、羌，武都等五郡氐皆附之	杨文德占据了北魏的葭芦城，并招抚诱降氐、羌族人，武都等五个郡的氐人全部归附
春，正月，魏仇池镇将皮豹子帅诸军击之	春季，正月，北魏仇池镇将皮豹子率领各路大军攻伐杨文德
文德兵败，弃城奔汉中	杨文德军队战败，放弃葭芦城，逃回汉中
豹子收其妻子、僚属、军资及杨保宗所尚魏公主而还	皮豹子逮捕了杨文德的妻子、孩子、幕僚臣属，没收了他所有的军用物资，同时又逮捕了杨保宗所娶的北魏公主，大胜而回
闰月，己酉，帝大搜于宣武场	闰二月，己酉，刘宋文帝在宣武场举行阅兵大典
初，刘湛既诛，庾炳之遂见宠任，累迁吏部尚书，势倾朝野	当初，刘湛被诛杀后，吏部郎庾炳之受到文帝的宠信，官职不断升迁直到吏部尚书，其势力在朝野上下无人能及
炳之无文学，性强急轻浅	但是，庾炳之没有才学，而且性情暴躁又极浅薄
既居选部，好诟詈宾客，且多纳货赂；士大夫皆恶之	官居吏部尚书之后，喜欢污辱漫骂来访的客人，并且大肆接受贿赂，士大夫们都非常讨厌、憎恶他
彭城太守王玄谟上言：彭城要兼水陆，请以皇子抚临州事	刘宋彭城太守王玄谟上书文帝说：彭城位兼水陆交通要道，请求派皇子亲临彭城主持政事
夏四月，乙卯，以武陵王骏为安北将军、徐州刺史	夏季，四月，乙卯，文帝任命武陵王刘骏为安北将军、徐州刺史
五月，甲戌，魏以交趾公韩拔为鄯善王，镇鄯善，赋役其民，比之郡县	五月，甲戌，北魏任命交趾公韩拔为鄯善国国王，镇守鄯善，对老百姓征发的赋税和劳役，参照北魏内地郡县
六月，丙寅，荆州刺史南谯王义宣进位司空	六月，丙寅，刘宋荆州刺史南谯王刘义宣晋升为司空
辛酉，魏主如广德宫	辛酉，北魏国主前往广德宫
秋，八月，甲子，封皇子为淮阳王	秋季，八月，甲子，刘宋朝廷封皇子刘为淮阳王
九月，辛未，以尚书右仆射何尚之为左仆射，领军将军沈演之为吏部尚书	九月，辛未，刘宋任命尚书右仆射何尚之为左仆射，领军将军沈演之为吏部尚书
丙戌，魏主如阴山	丙戌，北魏国主前去阴山
癸亥，魏大赦	癸亥，北魏实行大赦
春，正月，戊辰朔，魏主飨群臣于漠南	春季，正月，戊辰朔，北魏国主在漠南犒劳各位大臣
甲戌，复伐柔然	甲戌，再次讨伐柔然
高凉王那出东道，略阳王羯儿出西道，魏主与太子出涿邪山，行数千里	高凉王拓跋那从东路进军，略阳王拓跋羯儿由西路挺进，北魏国主和太子拓跋晃则率军穿过涿邪山，行军几千里
柔然处罗可汗恐惧远遁	柔然国处罗可汗郁久闾吐贺真非常恐惧，远远逃走
二月，己亥，上如丹徒，谒京陵	二月，己亥，文帝前去丹徒，拜谒京陵
三月，丁巳，大赦	三月，丁巳，实行大赦
募诸州乐移者数千家以实京口	募集各个州郡愿意移居的几千户迁来充实京口
庚寅，魏主还平城	庚寅，北魏国主返回平城
夏，五月，壬午，帝还建康	夏季，五月，壬午，文帝回到建康
庚寅，魏主如阴山	庚寅，北魏国主前往阴山
春，正月，乙酉，魏主如洛阳	春季，正月，乙酉，北魏国主前去洛阳
侍中、左卫将军江湛迁吏部尚书	刘宋侍中、左卫将军江湛升任吏部尚书
湛性公廉，与仆射徐湛之并为主上所宠信，时称江、徐	江湛秉性公正廉洁，他和仆射徐湛之同时受文帝所宠信，当时并称江徐
丁未，大赦	丁未，刘宋实行大赦
魏主攻彭城，不克	北魏国主攻彭城，没有攻克
十二月，丙辰朔，引兵南下，使中书郎鲁秀出广陵，高凉王那出山阳，永昌王仁出横江，所过无不残灭，城邑皆望风奔溃	十二月，丙辰朔，北魏国主率领大军向南进发，派中书郎鲁秀发兵广陵，高凉王拓跋那出兵山阳，永昌王拓跋仁发兵横江，北魏军队途经之处无不抢掠烧杀，所有城池，听说北魏军队前来进犯，都马上奔逃溃散
戊崐午，建康纂严	戊午，刘宋都城建康实行戒严
已未，魏兵至淮上	己未，北魏军队抵达淮上
春，正月，丙戌朔，魏主大会群臣于瓜步山上，班爵行赏有差	春季，正月，丙戌朔，北魏国主拓跋焘在瓜步山上召集全体官员，按照功劳大小，分别封爵升官进行奖赏
魏人缘江举火；太子左卫率尹弘言于上曰：六夷如此，必走	北魏人沿长江北岸燃起烽火，刘宋太子左卫率尹弘对文帝说：胡虏这种行动，一定是要撤退
丁亥，魏掠居民，焚庐舍而去	丁亥，北魏军队劫掠驻地的居民，焚烧了老百姓的房屋，向北而去
青州民司马顺则自称晋室近属，聚众号齐王	刘宋青州平民司马顺则宣称自己是东晋皇家的近族，聚众造反，自称齐王
梁邹戍主崔勋之诣州，五月，乙酉，顺则乘虚袭梁邹城	这时，梁邹守将崔勋之前去州府办事，五月，乙酉，司马顺则乘城中防守空虚偷袭了梁邹城
又有沙门自称司马百年，亦聚众号安定王以应之	同时，又有一和尚自称司马百年，也聚众造反崐，号安定王，以此响应司马顺则
壬寅，魏大赦	壬寅，北魏实行大赦
已巳，以江夏王义恭领南兖州刺史，徙镇盱眙，增督十二州诸军事	己巳，刘宋朝廷任命江夏王刘义恭兼任南兖州刺史，将州府迁到了盱眙，加授他为督十二州诸军事
六月，壬戌，魏改元正平	六月，壬戌，北魏改年号为正平
魏主命太子少傅游雅、中书侍郎胡方回等更定律令，多所增损，凡三百九十一条	北魏国主命令太子少傅游雅、中书侍郎胡方回等人改订国家法律，进行了大量的更定和补充，修订完的法律共有三百九十一条
秋，七月，丁亥，魏主如阴山	秋季，七月，丁亥，北魏国主前往阴山
青、冀二州刺史萧斌遣振武将军刘武之等击司马顺则、司马百年，皆斩之	刘宋青、冀二州刺史萧斌派振武将军刘武之等前去攻打司马顺则和司马百年，将二人斩首
癸亥，梁邹平	癸亥，梁邹的反叛被彻底平息了
上遣使至魏，魏遣殿中将军郎法来修好	文帝派使节到北魏，北魏则派殿中将军郎法前来恢复友好
已巳，魏上党靖王长孙道生卒	己巳，北魏的上党靖王长孙道生去世
帝使沈庆之徙彭城流民数千家于瓜步，征北参军程天祚徙江西流民数千家于姑孰	文帝派沈庆之将几千家彭城难民迁移到瓜步，派征北参军程天祚将几千户江西难民迁移到姑孰
唐和入朝于魏，魏主厚礼之	北魏镇守西域焉耆的唐和，前往平城朝见北魏国主，北魏国主用优厚的礼仪来款待他
春，正月，魏所得宋民五千余家在中山者谋叛，州军讨诛之	春季，正月，北魏所俘获的刘宋百姓五千余户在中山居住的人图谋造反，该州军队前去讨伐，把他们全部诛杀
冀州刺史张掖王沮渠万年坐与叛者通谋，赐死	冀州刺史张掖王沮渠万年与反叛者相互勾结，北魏国主赐他自杀
庚午，立皇子休仁为建安王	庚午，刘宋文帝立皇子刘休仁为建安王
三月，辛卯，魏葬太武皇帝于金陵，庙号世祖	三月，辛卯，北魏在金陵埋葬了北魏国主太武帝拓跋焘，庙号为世祖
上闻魏世祖殂，更谋北伐，鲁爽等复劝之	刘宋文帝听到北魏世祖去世，打算再次向北讨伐，司州刺史鲁爽也表示赞成
上访于群臣，太子中庶子何偃以为淮、泗数州疮痍未复，不宜轻动	文帝征求其他文武官员的意见，太子中庶子何偃认为：淮河、泗水几个州郡，受到北魏入侵的创伤，至今还没有恢复过来，不应该轻举妄动
上不从	文帝没有接受何偃的建议
偃，尚之之子也	何偃是何尚之的儿子
尚书令何尚之以老请置仕，退居方山	尚书令何尚之因为自己年纪大了，就请求退职，去方山隐居，但人们都认为何尚之不会固守他的信念一直隐居下去
议者咸谓尚之不能固志	不久，文帝颁下诏书，前后多次传达旨令，要征召何尚之回来
既而诏书敦谕者数四，六月，戊申朔，尚之复起视事	六月，戊申朔，何尚之果然又出来接受文帝的委派处理事务
御史中丞袁淑录自古隐士有迹无名者为《真隐传》以嗤之	御史中丞袁淑为此搜集自古以来有事迹而不能确知姓名的隐士，编辑成《真隐传》，以此表示对何尚之行为的嗤笑
秋，七月，张永等至，引兵围之	秋季，七月，张永等到达，率兵包围了该城
壬辰，徙汝阴王浑为武昌王，淮阳王为湘东王	壬辰，刘宋朝廷将汝阴王刘浑改封为武昌王，淮阳王刘改封为湘东王
庚寅，鲁爽与魏豫州刺史拓跋仆兰战于大索；破之，进攻虎牢	庚寅鲁爽与北魏豫州刺史拓跋仆兰在大索会战，鲁爽击败了拓跋仆兰，而后又进攻虎牢
闻败退，与柳元景皆引兵还	此时，他听说城打了败仗撤退下来，就和柳元景一同率军撤退返回
萧道成、马汪等闻魏救兵至，还趣仇池	萧道成、马汪等听到北魏的增援部队就要到来，也撤回仇池
已丑，诏解萧思话徐州，更领冀州刺史，镇历城	己丑，文帝颁发诏书，解除了萧思话的徐州刺史职务，改兼冀州刺史，镇守历城
魏南安隐王余以违次而立，厚赐群下，欲以收众心；旬月之间，府藏虚竭	北魏南安隐王拓跋余自认为自己没有按照长幼顺序当的皇帝，就用极为优厚的东西赏赐给下属，打算以此收买人心，一个月的时间，国库被动用一空
又好酣饮及声乐、畋猎，不恤政事	加之拓跋余自己喜欢喝得酩酊大醉，纵情声色、犬马，喜欢去野外狩猎，而不过问国家大事
宗爱为宰相，录三省，总宿卫，坐召公卿，专恣日甚	宗爱身居宰相高位，总管三省政务，负责皇家的安全事务，他身居高位，对公卿等呼来唤去，专权跋扈，一日比一日厉害
余患之，谋夺其权，爱愤怒	拓跋余深为崐不安，就想谋划肃夺他的大权，宗爱知道后甚为愤怒
冬，十月，丙午朔，余夜祭东庙，爱使小黄门贾周等就弑余，而秘之，惟羽林郎中代人刘尼知之	冬季，十月，丙午朔，拓跋余夜里去东庙祭祀，宗爱命令小黄门贾周等人，靠近拓跋余，暗中杀死他
尼劝爱立皇孙浚，爱惊曰：君大痴人	宗爱一直封锁消息，只有羽林郎中代郡人刘尼知道
皇孙若立，岂忘正平时事乎	刘尼劝宗爱拥戴皇孙拓跋浚做皇帝，宗爱大吃一惊，说：你简直是个大白痴，如果皇孙被立为皇帝，他怎么能够忘记正平年景穆太子的事
尼曰：若尔，今当立谁	刘尼说：如果不这样做，那么现在应该立谁为皇帝呢
爱曰：待还宫，当择诸王贤者立之	宗爱说：等我们回宫之后，在各王中选拔有贤能的人做皇帝
西阳五水群蛮反，自淮、汝至于江、沔，咸被其患	刘宋西阳五水一带的各蛮族起兵反抗，从淮河、汝水，到长江、沔水，都受到骚扰
诏太尉中兵参军沈庆之督江、豫、荆、雍四州兵讨之	文帝颁发诏令，命令太尉中兵参军沈庆之统率江、豫、荆、雍四州的士卒前去讨伐
魏以骠骑大将军拓跋寿乐为太宰、都督中外诸军、录尚书事，长孙渴侯为尚书令，加仪同三司	北魏朝廷任命骠骑大将军拓跋寿乐为太宰、都督中外诸军、录尚书事，任命长孙渴侯为尚书令，加封为仪同三司
十一月，寿乐、渴侯坐争权，并赐死	十一月，拓跋寿乐和长孙渴侯因争夺权利，二人同时被命令自杀
癸未，魏广阳简王建、临淮宣王谭皆卒	癸未，北魏广阳简王拓跋建、临淮宣王拓跋谭氏去世
甲申，魏主母闾氏卒	甲申，北魏国主拓跋浚的母亲郁久闾氏去世
壬寅，庐陵昭王绍卒	壬寅，刘宋庐陵昭王刘绍去世
魏追尊景穆太子为景穆皇帝，皇妣闾氏为恭皇后，尊乳母常氏为保太后	北魏追尊景穆太子拓跋晃为景穆皇帝，母亲郁久闾氏为恭皇后，尊封乳母常氏为保太后
十二月，戊申，魏葬恭皇后于金陵	十二月，戊申，北魏朝廷把恭皇后郁久闾氏安葬在金陵
江夏王义恭还朝	刘宋江夏王刘义恭从盱眙返回建康
辛未，以义恭为大将军、南徐州刺史，录尚书如故	辛未，文帝任命刘义恭为大将军、南徐州刺史，仍然保留他的录尚书之职
春，正月，戊寅，以南谯王义宣为司徒、扬州刺史	春季，正月，戊寅，刘宋文帝任命南谯王刘义宣为司徒、扬州刺史
