初命晋大夫魏斯、赵籍、韩虔为诸侯	周威烈王姬午初次分封晋国大夫魏斯、赵籍、韩虔为诸侯国君
靖郭君言于齐王曰：五官之计，不可不日听而数览也	靖郭君对齐王说：各主管大臣的报告，您应该每天亲自听取并反复审核
王从之；已而厌之，悉以委靖郭君	齐王照此做去，不久就厌烦了，全部委托给靖郭君代办
靖郭君由是得专齐之权	于是，齐国的大权全部落到田婴手中
卫更贬号曰君	卫国国君再次把自己的爵位由侯降到君
	二年
秦伐韩，取鄢	秦国进攻韩国，夺取鄢陵
楚、赵、魏、韩、燕同伐秦，攻函谷关	楚国、赵国、魏国、韩国、燕国联合讨伐秦国，进攻函谷关
秦人出兵逆之，五国之师皆败走	秦国出兵迎敌，五国联军败退而回
宋初称王	宋国国君开始称王
	四年
秦败韩师于鱼，斩首八万级，虏其将、申差于浊泽	秦国在鱼大败韩国军队，杀死八万人，于浊泽俘虏韩军大将和申差
诸侯振恐	各国震惊
齐大夫与苏秦争宠，使人刺秦，杀之	齐国大夫与苏秦争权，派人刺杀了苏秦
鲁景公薨，子平公旅立	鲁国鲁景公去世，其子姬旅即位为鲁平公
	五年
王崩，子赧王延立	周慎靓王去世，其子姬延即位为周赧王
	赧王上元年
秦入侵义渠，得二十五城	秦国入侵义渠，夺取二十五个城镇
是岁，齐宣王薨，子王地立	同年，齐国齐宣王去世，其子田地即位为齐王
	二年
秦王欲伐齐，患齐、楚之从亲，乃使张仪至楚，说楚王曰：大王诚能听臣，闭关绝约于齐，臣请献商於之地六百里，使秦女得为大王箕帚之妾，秦、楚嫁女娶妇，长为兄弟之国	秦王想征伐齐国，又顾虑齐国与楚国有互助条约，便派张仪前往楚国
楚王说	张仪对楚王说：大王如果能听从我的建议，与齐国废除盟约，断绝邦交，我可以向楚国献上商於地方的六百里土地，让秦国的美女
韩宣惠王薨，子襄王仓立	韩国韩宣惠王去世，其子韩仓即位为韩襄王
	四年
蜀相杀蜀侯	蜀国国相杀死封侯的国君
张仪说秦武王曰：为王计者，东方有变，然后王可以多割得地也	张仪向秦武王建议：为大王您考虑，东方发生事变，大王才能乘机多割得土地
臣闻齐王甚憎臣，臣之所在，齐必伐之	我听说齐王十分憎恨我，我居留在哪里，齐国必定要去攻打
臣愿乞其不肖之身以之梁，齐必伐梁，齐、梁交兵而不能相去，王以其间伐韩，入三川，挟天子，案图籍，此王业也	我请求让我这个不肖之人到魏国去，齐国必定要讨伐魏国，齐国、魏国正打得难解难分的时候，大王便可以乘机攻打韩国，进军三川，挟持天子，掌握天下的版图，这是帝王大业呀
王许之	秦王允许张仪到魏国去
齐王果伐梁，梁王恐	齐国果然出兵攻魏，魏王十分惊恐
张仪曰：王勿患也	张仪安慰说：大王不要担心
请令齐罢兵	让我来退掉齐兵
乃使其舍人之楚，借使谓齐王曰：甚矣王之托仪于秦也	于是派他的手下人到楚国，借使臣之口对齐王说：大王把张仪托付给秦国的办法真厉害呀
齐王曰：何故	齐王问：怎么讲
楚使者曰：张仪之去秦也固与秦王谋矣，欲齐、梁相攻而令秦取三川也	楚国使者说：张仪离开秦国本来就是与秦王定下的计谋，想让齐、魏两国互相攻击而秦国乘机夺取三川地方
今王果伐梁，是王内罢国而外伐与国，而信仪于秦王也	现在大王您果然攻打魏国，正是对内劳民伤财，对外结仇邻国，而使张仪重新获得秦王的信任
齐王乃解兵还	齐王听罢，下令退兵回国
张仪相魏一岁，卒	张仪在魏国做了一年的国相，便去世了
秦王使甘茂诛蜀相庄	秦王派甘茂诛杀蜀国国相陈庄
秦王、魏王会于临晋	秦王、魏王在临晋相会
秦初置丞相，以樗里疾为右丞相	秦国设置丞相职务，任命樗里疾为右丞相
	七年
秦、魏会于应	秦国、魏国在应城举行会议
秦王使甘茂约魏以伐韩，而令向寿辅行	秦王派甘茂去约定魏国共同进攻韩国，又让向寿作他的助手
甘茂令向寿还，谓王曰：魏听臣矣，然愿王勿伐	甘茂命令向寿回国对秦王说：魏国倒是听从了我的安排，不过我希望大王您不要进攻韩国
王迎甘茂于息壤而问其故	秦王在息壤迎接甘茂，询问原因，甘茂回答说：宜阳是个大县，其实应属郡一级
对曰：宜阳大县，其实郡也	现在大王您下令面对多重险隘，不远千里，发兵进攻，是很困难的
今王倍数险，行千里，攻之难	鲁国有个与曾参同姓名的人杀了人，有人告诉曾参的母亲，他的母亲仍旧织布，泰然自若
鲁人有与曾参同姓名者杀人，人告其母，其母织自若也	等到先后来了三个人告诉她同样的事情，曾参母亲也扔下机杼，跳墙逃走了
及三人告之，其母投杼下机，逾墙而走	我的贤良不如曾参，大王您对我的信任又不如曾参的母亲，猜疑我的人更不止三个人，所以我怕大王您将来也会有扔下机杼的举动
臣之贤不若曾参，王之信臣又不如其母，疑臣者非特三人，臣恐大王之投杼也	再说当年魏文侯任命乐羊为大将进攻中山国，三年才攻下
魏文侯令乐羊将而攻中山，三年而拔之	回来论功行赏，魏文侯向乐羊出示别人的指控书，多达一筐
反而论功，文侯示之谤书一箧	乐羊一再叩头行礼说：这不是我的功劳，实在要归功于您信任啊
乐羊再拜稽首曰：此非臣之功，君之力也	现在我甘茂，是个寄居秦国的外籍人，樗里子、公孙将来抓住韩国的事情来攻击我，大王一定会听信他们
今臣，羁旅之臣也，樗里子、公孙挟韩而议之，王必听之，是王欺魏王而臣受公仲侈之怨也	那时攻宜阳前功尽弃，结果是大王您背弃了与魏王的约定，而我遭受韩国国相公仲侈的怨恨
王曰：寡人弗听也，请与子盟	秦王说：我不会听他们的，可以和你起誓
乃盟于息壤	于是两人在息壤立下誓言
秋，甘茂、庶长封帅师伐宜阳	秋季，甘茂和名叫封的庶长率领大军前去攻打宜阳
	八年
楚王与齐国、韩国订立同盟	彗星见
十年	
秦王、楚王在黄棘会盟，秦国把上庸归还给楚国	彗星见
十二年	
天空出现彗星	秦取魏蒲阪、晋阳、封陵；又取韩武遂
秦王、魏王、韩国太子韩婴在临晋举行会议，韩国太子又前往秦国咸阳后才归去，秦国把蒲阪归还给魏国	秦大夫有私与楚太子斗者，太子杀之，亡归
秦国有个大夫私下与楚国太子争斗，楚太子杀了他后，逃回楚国	日有食之，既
十四年	
出现日全食	秦人取韩穰
秦国夺取韩国穰城	蜀守辉叛秦，秦司马错往诛之
蜀地郡守嬴辉反叛秦国，秦国派司马错前去将他处死	秦庶长奂会韩、魏、齐兵伐楚，败其师于重丘，杀其将唐昧；遂取重丘
秦国派名叫奂的庶长联合韩、魏、齐三国出兵攻打楚国，在重丘大败楚军，杀死楚将唐昧，夺取重丘	赵王伐中山，中山君奔齐
赵王出兵攻打中山国，中山国君逃奔齐国	秦泾阳君为质于齐
十五年	
秦国樗里疾去世，任命赵国人楼缓为丞相	赵武灵王爱少子何，欲及其生而立之
赵主父视察新获取的领土，离开代郡，向西在西河会见楼烦王，接受了他的部队	魏襄王薨，子昭王立
魏国魏襄王去世，其子即位为魏昭王	韩襄王薨，子王咎立
韩国韩襄王去世，其子韩咎即位为韩王	秦尉错伐魏襄城
二十年	
赵主父把长子赵章封到代，号称安阳君	秦楼缓免相，魏冉代之
秦国罢免楼缓的丞相，由魏冉代任	秦败魏师于解
二十一年	
楚襄王从秦国迎娶新娘	秦魏冉谢病免，以客卿烛寿为丞相
秦国魏冉因病辞去职务，以客卿烛寿为丞相	秦伐韩，拔宛
二十四年	
秦国进攻韩国，攻克宛	魏入河东地四百里、韩入武遂地二百里于秦
魏国把河东地方圆四百里、韩国把武遂地方圆二百里献给秦国	魏芒卯始以诈见重
魏国芒卯以诈术开始受到重用	秦大良造白起、客卿错伐魏，至轵，取城大小六十一
二十六年	
秦国攻打赵国，攻克杜阳	秦攻赵，拔新垣、曲阳
二十八年	
